"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.bread","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.shaja","pkg.wht.unshe","pkg.wht.millw","pkg.wht.millm","pkg.wht.milla","pkg.wht.maltw","pkg.wht.pbula","pkg.wht.allwh"
"882","SNNP","Jinka","June",2018,36.56441614,5.78310286,8.1,14.62,NA,13.35,NA,34.64,NA,NA,NA,30.21,NA,14.62
"883","SNNP","Dimeka","June",2018,36.45041198,4.892522922,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"884","SNNP","Masha","June",2018,35.47956686,7.741652627,8.25,NA,NA,15,NA,35.5,NA,NA,NA,NA,NA,15
"885","SNNP","Tepi","June",2018,35.36770327,7.320015599,6.39,16.49,NA,NA,NA,30.98,18,NA,NA,NA,NA,16.49
"886","SNNP","Boniga","June",2018,36.24008346,7.388535704,NA,15.75,13.75,14,NA,30,NA,NA,NA,19.35,NA,15.75
"887","SNNP","Chana","June",2018,36.11775846,6.226550231,6.67,15,14,NA,NA,40,NA,NA,NA,NA,NA,15
"888","SNNP","Arbam- minch ","June",2018,37.5527474,6.024547891,7.22,22,NA,20,NA,30,NA,NA,NA,27.71,NA,22
"889","SNNP","Sawla","June",2018,36.87437474,6.300226567,3.25,13.74,NA,NA,NA,30,NA,NA,NA,NA,NA,13.74
"890","SNNP","Welayita","March",2018,NA,NA,4.89,13,NA,13,NA,30,NA,NA,60,28.71,25,13
"891","SNNP","Bodite","March",2018,37.89064905,7.038034865,NA,11,NA,NA,NA,35,NA,NA,60,14.79,35,11
"892","SNNP","Jinka","March",2018,36.56441614,5.78310286,NA,11.41,NA,10.48,NA,30.98,NA,NA,NA,19.74,NA,11.41
"893","SNNP","Dimeka","March",2018,36.45041198,4.892522922,5.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"894","SNNP","Masha","March",2018,35.47956686,7.741652627,5.4,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA
"895","SNNP","Tepi","March",2018,35.36770327,7.320015599,6.22,14,NA,14,NA,32,15,NA,NA,NA,NA,14
"896","SNNP","Boniga","March",2018,36.24008346,7.388535704,7.29,12,10,10,NA,NA,NA,NA,NA,21.24,NA,12
"897","SNNP","Chana","March",2018,36.11775846,6.226550231,5.19,14,12,NA,NA,40,NA,NA,48,NA,NA,14
"898","SNNP","Arbam- minch ","March",2018,37.5527474,6.024547891,7.18,15,NA,13,NA,30,NA,NA,NA,19.28,NA,15
"899","SNNP","Sawla","March",2018,36.87437474,6.300226567,3.25,10.98,NA,NA,NA,30,NA,NA,NA,NA,NA,10.98
"900","SNNP","Welayita","May",2018,NA,NA,4.91,15.49,NA,14,NA,30.98,NA,NA,60,34.79,NA,15.49
"901","SNNP","Bodite","May",2018,37.89064905,7.038034865,8.54,13.49,NA,NA,NA,28.98,NA,NA,48,14.45,NA,13.49
"902","SNNP","Jinka","May",2018,36.56441614,5.78310286,8.18,14.69,NA,13.33,NA,37.42,NA,NA,NA,31.07,NA,14.69
"903","SNNP","Dimeka","May",2018,36.45041198,4.892522922,5.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"904","SNNP","Masha","May",2018,35.47956686,7.741652627,7.38,NA,NA,15,NA,34.99,NA,NA,NA,NA,NA,15
"905","SNNP","Tepi","May",2018,35.36770327,7.320015599,NA,15,NA,14,NA,32,NA,NA,NA,NA,NA,15
"906","SNNP","Boniga","May",2018,36.24008346,7.388535704,NA,15,13,13,NA,35,NA,NA,NA,22.22,NA,15
