"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.hullb","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"1251","Afar","Sebat Killo ","October",2014,8.983333333,40.16666667,8.67,6.9,7.8,8.8,NA,NA,NA,16.82,8.67
"1264","Tigray","Enda- Silase ","September",2014,38.27211005,14.08944251,10.31,NA,NA,NA,NA,NA,NA,21.43,10.31
"1265","Tigray","Enda- Baguna ","September",2014,38.19317204,13.97860867,NA,NA,NA,NA,NA,NA,NA,19.01,NA
"1266","Tigray","Adwa","September",2014,38.88818805,14.14845458,11.23,NA,NA,NA,17.16,NA,NA,19.45,11.23
"1267","Tigray","Axum","September",2014,38.71879888,14.11130791,8.71,NA,NA,NA,18.99,NA,NA,13.45,8.71
"1268","Tigray","Adigrat","September",2014,39.46033457,14.26667752,9,NA,9.3,NA,NA,NA,NA,16.88,9
"1269","Tigray","Wukiro","September",2014,39.599747,13.796083,8.98,NA,8.47,NA,NA,NA,NA,25.77,8.98
"1270","Tigray","Mai- Chew ","September",2014,39.541533,12.78792086,7.7,NA,8.42,NA,NA,NA,NA,11.69,7.7
"1271","Tigray","Mekelle","September",2014,39.47221911,13.48719005,9.33,NA,9.04,NA,NA,NA,NA,27.64,9.33
"1272","Afar","Ayisaeta","September",2014,41.43333,11.56667,11.32,NA,10,NA,NA,NA,NA,NA,11.32
"1273","Afar","Dubti","September",2014,41.08260323,11.72765333,10.49,NA,NA,NA,NA,NA,NA,40.83,10.49
"1274","Afar","Melka Werers ","September",2014,40.18154914,9.340880502,9,NA,NA,9.83,NA,NA,NA,15,9
"1275","Afar","Sebat Killo ","September",2014,8.983333333,40.16666667,8.67,6.76,7.83,9.26,NA,NA,NA,14.66,8.67
