"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","CEREALS MILLED","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA","P R I C E   I N    B I R R"
"977","SNNP","Karate","September","2018","5.25","37.48333333","6.01","-","17.83","17.87","-","40.00","-","-","-","-",NA
"978","SNNP","Gidola","September","2018","37.34772952","5.647078098","5.40","15.13","13.40","-","-","-","-","-","-","-",NA
"979","SNNP","Tercha","September","2018","37.175334","7.146295","3.98","17.49","15.00","14.00","-","25.50","-","-","-","-",NA
"980","SNNP","Besite- chere ","September","2018",NA,NA,"6.09","15.00","-","-","-","28.00","-","-","24.00","-",NA
"981","SNNP","Lasoka","September","2018","36.60777815","6.30774507","7.57","17.55","-","13.33","-","-","-","-","-","-",NA
"982","SNNP","Amaya","September","2018","36.68000727","7.105541206","4.68","15.71","-","15.60","-","30.00","-","-","-","-",NA
"983","SOMALIE","Shinile","April","2019","41.844013","9.686515","-","-","-","16.00","-","-","-","-","-","-","-"
"984","SOMALIE","Erere","April","2019",NA,NA,"9.55","-","-","10.92","-","-","-","-","-","-","-"
"985","SOMALIE","Jigjiga","April","2019","42.792342","9.367259","8.10","20.00","-","17.29","-","40.00","-","25.50","-","-","-"
"986","SOMALIE","Kebribeya","April","2019",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"987","SOMALIE","Dolo","April","2019","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"988","SOMALIE","Moyale","April","2019","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
"989","BENISHANGUL-GUMUZ","Mambook","April","2019",NA,NA,"6.14","16.49","-","-","-","25.50","-","-","40.00","-","-"
"990","BENISHANGUL-GUMUZ","Mender- Sebat ","April","2019",NA,NA,"6.93","16.00","-","-","-","30.00","-","-","-","-","-"
"991","BENISHANGUL-GUMUZ","Asossa","April","2019","34.53730603","10.05784932","5.70","20.00","-","-","-","30.00","-","-","60.00","-","-"
"992","BENISHANGUL-GUMUZ","Bambasi","April","2019","34.73046863","9.751504664","7.35","15.87","-","-","-","-","-","-","48.00","-","-"
"993","BENISHANGUL-GUMUZ","Kemashi","April","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"994","BENISHANGUL-GUMUZ","Agelo- meti ","April","2019","35.77048443","9.640776618","9.35","-","-","-","-","-","-","-","-","-","-"
"995","BENISHANGUL-GUMUZ","AVERA","April","2019",NA,NA,"6.99","17.01","-","-","-","28.42","-","-","48.66","-","-"
"996","SOMALIE","Shinile","August","2018","41.844013","9.686515","-","25.00","-","16.49","-","-","-","-","-","-","-"
"997","SOMALIE","Erere","August","2018",NA,NA,"9.55","18.00","-","-","-","-","-","-","-","-","-"
"998","SOMALIE","Jigjiga","August","2018","42.792342","9.367259","7.50","20.00","-","12.46","-","40.00","-","24.00","-","-","-"
"999","SOMALIE","Kebribeya","August","2018",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1000","SOMALIE","Dolo","August","2018","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1001","SOMALIE","Moyale","August","2018","3.527","39.056","7.57","18.97","13.96","-","25.00","30.00","-","-","-","-","-"
"1002","BENISHANGUL-GUMUZ","Mambook","August","2018",NA,NA,"9.03","-","-","16.00","28.00","30.00","-","-","40.00","24.19","-"
"1003","BENISHANGUL-GUMUZ","Mender- Sebat ","August","2018",NA,NA,"6.54","-","-","15.00","30.00","-","-","-","-","-","-"
"1004","BENISHANGUL-GUMUZ","Asossa","August","2018","34.53730603","10.05784932","5.60","18.00","-","-","-","28.00","-","-","60.00","-","-"
"1005","BENISHANGUL-GUMUZ","Bambasi","August","2018","34.73046863","9.751504664","5.83","19.60","-","-","-","30.00","-","-","40.00","-","-"
"1006","BENISHANGUL-GUMUZ","Kemashi","August","2018","35.85916991","9.515450626","5.19","16.67","-","-","-","-","-","-","41.95","-","-"
"1007","BENISHANGUL-GUMUZ","Agelo- meti ","August","2018","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1008","BENISHANGUL-GUMUZ","AVERA","August","2018",NA,NA,"6.31","18.05","-","15.49","28.98","29.32","-","-","44.80","24.19","-"
"1009","SOMALIE","Shinile","December","2018","41.844013","9.686515","-","-","-","16.00","-","-","-","-","-","-","-"
"1010","SOMALIE","Erere","December","2018",NA,NA,"8.41","-","-","14.71","-","-","-","-","-","-","-"
"1011","SOMALIE","Jigjiga","December","2018","42.792342","9.367259","6.25","20.00","-","17.39","-","40.00","-","24.00","-","-","-"
"1012","SOMALIE","Kebribeya","December","2018",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1013","SOMALIE","Dolo","December","2018","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1014","SOMALIE","Moyale","December","2018","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
"1015","BENISHANGUL-GUMUZ","Mambook","December","2018",NA,NA,"6.56","17.49","-","-","-","27.00","-","-","40.00","-","-"
"1016","BENISHANGUL-GUMUZ","Mender- Sebat ","December","2018",NA,NA,"6.06","16.00","-","-","-","30.00","-","-","40.00","-","-"
"1017","BENISHANGUL-GUMUZ","Asossa","December","2018","34.53730603","10.05784932","5.04","20.00","-","-","-","28.98","-","-","60.00","-","-"
"1018","BENISHANGUL-GUMUZ","Bambasi","December","2018","34.73046863","9.751504664","7.15","20.71","-","-","-","25.00","-","-","40.00","-","-"
"1019","BENISHANGUL-GUMUZ","Kemashi","December","2018","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"1020","BENISHANGUL-GUMUZ","Agelo- meti ","December","2018","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1021","BENISHANGUL-GUMUZ","AVERA","December","2018",NA,NA,"6.15","18.45","-","-","-","27.68","-","-","44.27","-","-"
"1022","SOMALIE","Shinile","February","2019","41.844013","9.686515","-","-","-","16.00","-","-","-","-","-","-","-"
"1023","SOMALIE","Erere","February","2019",NA,NA,"9.55","11.03","-","-","-","-","-","-","-","-","-"
"1024","SOMALIE","Jigjiga","February","2019","42.792342","9.367259","7.50","20.00","-","17.27","-","40.00","-","24.49","-","-","-"
"1025","SOMALIE","Kebribeya","February","2019",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1026","SOMALIE","Dolo","February","2019","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1027","SOMALIE","Moyale","February","2019","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
"1028","BENISHANGUL-GUMUZ","Mambook","February","2019",NA,NA,"8.14","16.00","-","-","-","26.50","-","-","40.00","25.93","-"
"1029","BENISHANGUL-GUMUZ","Mender- Sebat ","February","2019",NA,NA,"6.67","16.00","-","-","-","30.00","-","-","40.00","-","-"
"1030","BENISHANGUL-GUMUZ","Asossa","February","2019","34.53730603","10.05784932","5.72","20.00","-","-","-","30.00","-","-","54.77","-","-"
"1031","BENISHANGUL-GUMUZ","Bambasi","February","2019","34.73046863","9.751504664","7.38","18.82","-","-","25.00","-","-","-","48.00","-","-"
"1032","BENISHANGUL-GUMUZ","Kemashi","February","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-","-","-","-"
"1033","BENISHANGUL-GUMUZ","Agelo- meti ","February","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-","-","-","-"
"1034","BENISHANGUL-GUMUZ","AVERA","February","2019",NA,NA,"6.92","17.62","-","-","25.00","28.78","-","-","45.29","25.93","-"
"1035","SOMALIE","Shinile","January","2019","41.844013","9.686515","14.00","-","-","15.49","-","-","-","-","-","-","-"
"1036","SOMALIE","Erere","January","2019",NA,NA,"9.55","-","-","13.84","-","-","-","-","-","-","-"
"1037","SOMALIE","Jigjiga","January","2019","42.792342","9.367259","5.47","20.00","-","16.98","-","40.00","-","24.49","-","-","-"
"1038","SOMALIE","Kebribeya","January","2019",NA,NA,"-","-","-","-","-","-","-","-","-","-","-"
"1039","SOMALIE","Dolo","January","2019","42.059257","4.179211","-","-","-","-","-","-","-","-","-","-","-"
"1040","SOMALIE","Moyale","January","2019","3.527","39.056","-","-","-","-","-","-","-","-","-","-","-"
