"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"921","SNNP","Gidola","March","2017","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"6.67","9.41","10.81","-","12.24","-"
"922","SNNP","Tercha","March","2017","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"14.00","13.00","12.00","-","-","-"
"923","SNNP","Besite- chere ","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"14.00","10.00","10.00","-","-","-"
"924","SNNP","Lasoka","March","2017","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"9.62","-","9.26","-","15.63","11.54"
"925","SNNP","Amaya","March","2017","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"8.36","7.43","7.25","-","8.02","-"
"926","SNNP","Shewa- Bench ","May","2017",NA,NA,"14.00","10.00","12.00","-","-","-","-","22.75",NA,NA,NA,NA,NA,NA
"927","SNNP","Mizan- Teferi ","May","2017","35.41120174","6.883477024","12.75","-","10.00","-","-","-","-","18.00",NA,NA,NA,NA,NA,NA
"928","SNNP","Deri","May","2017","36.28577951","7.384839762","13.48","13.79","13.79","-","-","-","-","24.02",NA,NA,NA,NA,NA,NA
"929","SNNP","Amaro Kele ","May","2017","6.083333333","38.03333333","10.81","-","11.69","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"930","SNNP","Soyama","May","2017","5.7","37.88333333","10.85","9.21","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"931","SNNP","Karate","May","2017","5.25","37.48333333","11.46","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"932","SNNP","Gidola","May","2017","37.34772952","5.647078098","14.60","14.71","14.29","-","18.51","-","-","-",NA,NA,NA,NA,NA,NA
"933","SNNP","Tercha","May","2017","37.175334","7.146295","16.00","15.00","15.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"934","SNNP","Besite- chere ","May","2017",NA,NA,"15.00","12.00","12.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"935","SNNP","Lasoka","May","2017","36.60777815","6.30774507","9.81","-","10.64","-","21.82","-","-","15.16",NA,NA,NA,NA,NA,NA
"936","SNNP","Amaya","May","2017","36.68000727","7.105541206","10.00","8.91","9.03","-","10.84","-","-","7.11",NA,NA,NA,NA,NA,NA
"937","SNNP","Shewa- Bench ","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","8.00","9.65","-","-","19.01"
"938","SNNP","Mizan- Teferi ","November","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.00","10.00","10.00","-","-","16.00"
"939","SNNP","Deri","November","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"10.39","10.47","10.47","-","-","13.65"
"940","SNNP","Amaro Kele ","November","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"10.77","-","10.86","-","16.13","-"
"941","SNNP","Soyama","November","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"9.27","-","9.46","-","-","-"
"942","SNNP","Karate","November","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"10.25","-","-","-","-","-"
"943","SNNP","Gidola","November","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"11.04","-","-","-","-","-"
"944","SNNP","Tercha","November","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"16.76","15.46","14.50","-","-","-"
"945","SNNP","Besite- chere ","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.66","12.00","12.00","-","-","-"
"946","SNNP","Lasoka","November","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"10.14","-","-","-","28.01","16.69"
"947","SNNP","Amaya","November","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"9.49","8.29","8.60","-","-","-"
"948","SNNP","Shewa- Bench ","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","8.00","9.65","-","-","19.61"
"949","SNNP","Mizan- Teferi ","October","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.66","10.00","10.00","-","-","16.00"
"950","SNNP","Deri","October","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"11.63","11.36","11.36","-","-","23.26"
"951","SNNP","Amaro Kele ","October","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"9.59","-","10.44","-","16.25","-"
"952","SNNP","Soyama","October","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"9.29","9.33","8.11","10.72","-","-"
"953","SNNP","Karate","October","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"10.61","-","-","-","-","-"
"954","SNNP","Gidola","October","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.89","13.39","13.76","-","16.88","-"
"955","SNNP","Tercha","October","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"16.40","13.42","12.66","-","-","-"
"956","SNNP","Besite- chere ","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.00","12.00","-","-","-","-"
"957","SNNP","Lasoka","October","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"12.79","13.02","-","-","23.73","21.53"
"958","SNNP","Amaya","October","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"8.49","8.33","9.16","-","-","-"
"959","SNNP","Shewa- Bench ","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.49","-","9.65","-","-","21.46"
"960","SNNP","Mizan- Teferi ","September","2016","35.41120174","6.883477024",NA,NA,NA,NA,NA,"-","-",NA,"11.66","11.00","10.00","-","-","16.00"
"961","SNNP","Deri","September","2016","36.28577951","7.384839762",NA,NA,NA,NA,NA,"-","-",NA,"9.30","9.09","9.09","-","-","14.07"
"962","SNNP","Amaro Kele ","September","2016","6.083333333","38.03333333",NA,NA,NA,NA,NA,"-","-",NA,"9.38","-","10.86","-","15.91","-"
"963","SNNP","Soyama","September","2016","5.7","37.88333333",NA,NA,NA,NA,NA,"-","-",NA,"9.21","9.42","7.96","9.09","-","-"
"964","SNNP","Karate","September","2016","5.25","37.48333333",NA,NA,NA,NA,NA,"-","-",NA,"9.84","-","-","-","-","-"
"965","SNNP","Gidola","September","2016","37.34772952","5.647078098",NA,NA,NA,NA,NA,"-","-",NA,"13.77","12.66","14.02","-","14.56","-"
"966","SNNP","Tercha","September","2016","37.175334","7.146295",NA,NA,NA,NA,NA,"-","-",NA,"-","-","13.70","-","-","-"
"967","SNNP","Besite- chere ","September","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","12.00","-","-","-"
"968","SNNP","Lasoka","September","2016","36.60777815","6.30774507",NA,NA,NA,NA,NA,"-","-",NA,"13.05","-","-","-","18.87","13.47"
"969","SNNP","Amaya","September","2016","36.68000727","7.105541206",NA,NA,NA,NA,NA,"-","-",NA,"9.54","9.32","-","-","-","-"
"970","SOMALIE","Shinile","April","2017","41.844013","9.686515","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"971","SOMALIE","Erere","April","2017",NA,NA,"13.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"972","SOMALIE","Jigjiga","April","2017","42.792342","9.367259","14.49","16.61","-","17.00","-","-","-","36.50",NA,NA,NA,NA,NA,NA
"973","SOMALIE","Kebribeya","April","2017",NA,NA,"-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"974","SOMALIE","Dolo","April","2017","42.059257","4.179211","-","15.97","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"975","SOMALIE","Moyale","April","2017","3.527","39.056","-","12.00","-","14.00","-","-","25.00","-",NA,NA,NA,NA,NA,NA
"976","BENISHANGUL-GUMUZ","Mambook","April","2017",NA,NA,"12.00","-","12.00","-","-","-","-","30.30",NA,NA,NA,NA,NA,NA
"977","BENISHANGUL-GUMUZ","Mender- Sebat ","April","2017",NA,NA,"13.00","-","10.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"978","BENISHANGUL-GUMUZ","Asossa","April","2017","34.53730603","10.05784932","12.00","-","12.00","13.49","-","-","-","26.55",NA,NA,NA,NA,NA,NA
"979","BENISHANGUL-GUMUZ","Bambasi","April","2017","34.73046863","9.751504664","13.62","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"980","BENISHANGUL-GUMUZ","Kemashi","April","2017","35.85916991","9.515450626","-","9.81","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"981","BENISHANGUL-GUMUZ","Agelo- meti ","April","2017","35.77048443","9.640776618","10.58","11.12","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"982","BENISHANGUL-GUMUZ","AVERA","April","2017",NA,NA,"12.20","10.44","11.29","13.49","-","-","-","28.36",NA,NA,NA,NA,NA,NA
"983","SOMALIE","Shinile","August","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"984","SOMALIE","Arere","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","-","-","-","-"
"985","SOMALIE","Jigjiga","August","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","-","-","16.33","-","36.00"
"986","SOMALIE","Hartshek","August","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"987","SOMALIE","Dolo","August","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"988","SOMALIE","Moyale","August","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","25.00",NA,"-","13.33","12.00","-","-","-"
"989","BENISHANGUL-GUMUZ","Mambook","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"990","BENISHANGUL-GUMUZ","Mender- Sebat ","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","12.12"
"991","BENISHANGUL-GUMUZ","Asossa","August","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","24.45"
"992","BENISHANGUL-GUMUZ","Bambasi","August","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"13.48","-","-","-","-","-"
"993","BENISHANGUL-GUMUZ","Kemashi","August","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"-","9.93","-","-","-","-"
"994","BENISHANGUL-GUMUZ","Agelo- meti ","August","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"13.13","13.53","-","-","-","-"
"995","BENISHANGUL-GUMUZ","AVERA","August","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.51","11.59","10.63","-","-","17.21"
"996","SOMALIE","Shinile","December","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"997","SOMALIE","Arere","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","-","-","-","-"
"998","SOMALIE","Jigjiga","December","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","-","-","17.00","-","36.00"
"999","SOMALIE","Hartshek","December","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1000","SOMALIE","Dolo","December","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1001","SOMALIE","Moyale","December","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","33.02",NA,"13.66","12.32","-","-","-","-"
"1002","BENISHANGUL-GUMUZ","Mambook","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"1003","BENISHANGUL-GUMUZ","Mender- Sebat ","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","9.00","-","-","10.92"
"1004","BENISHANGUL-GUMUZ","Asossa","December","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"11.66","10.00","9.00","-","-","-"
"1005","BENISHANGUL-GUMUZ","Bambasi","December","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"14.64","9.97","-","-","-","-"
"1006","BENISHANGUL-GUMUZ","Kemashi","December","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"9.71","10.00","-","-","-","-"
"1007","BENISHANGUL-GUMUZ","Agelo- meti ","December","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"12.78","11.25","-","-","-","-"
"1008","BENISHANGUL-GUMUZ","AVERA","December","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.04","10.29","9.91","-","-","10.92"
"1009","SOMALIE","Shinile","February","2017","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1010","SOMALIE","Arere","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.83","-","-","-","-","-"
"1011","SOMALIE","Jigjiga","February","2017","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","19.51","-","18.00","-","35.00"
"1012","SOMALIE","Hartshek","February","2017","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1013","SOMALIE","Dolo","February","2017","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","-","15.00","-","-","-"
"1014","SOMALIE","Moyale","February","2017","3.527","39.056",NA,NA,NA,NA,NA,"40.00","35.00",NA,"14.00","-","12.00","14.00","-","-"
"1015","BENISHANGUL-GUMUZ","Mambook","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"1016","BENISHANGUL-GUMUZ","Mender- Sebat ","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.33","-","9.65","-","-","24.25"
"1017","BENISHANGUL-GUMUZ","Asossa","February","2017","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"12.00","10.00","-","14.00","-","26.48"
"1018","BENISHANGUL-GUMUZ","Bambasi","February","2017","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"13.07","10.20","-","-","-","-"
"1019","BENISHANGUL-GUMUZ","Kemashi","February","2017","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"9.80","9.62","-","-","-","-"
"1020","BENISHANGUL-GUMUZ","Agelo- meti ","February","2017","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"10.59","11.13","-","-","-","-"
"1021","BENISHANGUL-GUMUZ","AVERA","February","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.42","10.22","10.76","14.00","-","25.34"
"1022","SOMALIE","Shinile","January","2017","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1023","SOMALIE","Arere","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","-","-","-"
"1024","SOMALIE","Jigjiga","January","2017","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","11.55","-","17.00","-","36.00"
"1025","SOMALIE","Hartshek","January","2017","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1026","SOMALIE","Dolo","January","2017","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1027","SOMALIE","Moyale","January","2017","3.527","39.056",NA,NA,NA,NA,NA,"-","26.57",NA,"13.00","12.00","-","14.00","-","-"
"1028","BENISHANGUL-GUMUZ","Mambook","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"1029","BENISHANGUL-GUMUZ","Mender- Sebat ","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","8.83","-","-","11.46"
"1030","BENISHANGUL-GUMUZ","Asossa","January","2017","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"12.00","9.00","-","-","-","33.92"
"1031","BENISHANGUL-GUMUZ","Bambasi","January","2017","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"13.00","10.91","-","-","-","-"
"1032","BENISHANGUL-GUMUZ","Kemashi","January","2017","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"9.90","10.22","-","-","-","-"
"1033","BENISHANGUL-GUMUZ","Agelo- meti ","January","2017","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"13.04","13.29","-","-","-","-"
"1034","BENISHANGUL-GUMUZ","AVERA","January","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.94","10.75","10.29","-","-","19.72"
"1035","SOMALIE","Shinile","July","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1036","SOMALIE","Arere","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","-","-","-","-"
"1037","SOMALIE","Jigjiga","July","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"-","15.02","-","16.33","-","35.00"
"1038","SOMALIE","Hartshek","July","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1039","SOMALIE","Dolo","July","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1040","SOMALIE","Moyale","July","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","25.00",NA,"14.00","12.00","-","-","-","-"
"1041","BENISHANGUL-GUMUZ","Mambook","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"10.00","-","10.00","-","-","-"
"1042","BENISHANGUL-GUMUZ","Mender- Sebat ","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","10.00","-","-","12.68"
"1043","BENISHANGUL-GUMUZ","Asossa","July","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","27.83"
"1044","BENISHANGUL-GUMUZ","Bambasi","July","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"13.99","13.65","-","-","-","-"
"1045","BENISHANGUL-GUMUZ","Kemashi","July","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"-","9.89","-","-","-","-"
"1046","BENISHANGUL-GUMUZ","Agelo- meti ","July","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"12.47","12.85","-","-","-","-"
"1047","BENISHANGUL-GUMUZ","AVERA","July","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.02","12.02","10.32","-","-","18.79"
"1048","SOMALIE","Shinile","June","2017","41.844013","9.686515","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1049","SOMALIE","Erere","June","2017",NA,NA,"14.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1050","SOMALIE","Jigjiga","June","2017","42.792342","9.367259","15.00","-","-","17.49","-","-","-","36.50",NA,NA,NA,NA,NA,NA
"1051","SOMALIE","Kebribeya","June","2017",NA,NA,"-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1052","SOMALIE","Dolo","June","2017","42.059257","4.179211","-","20.00","-","-","-","-","20.00","-",NA,NA,NA,NA,NA,NA
"1053","SOMALIE","Moyale","June","2017","3.527","39.056","14.49","-","-","14.49","-","32.40","-","-",NA,NA,NA,NA,NA,NA
"1054","BENISHANGUL-GUMUZ","Mambook","June","2017",NA,NA,"12.00","-","12.00","-","-","-","-","29.42",NA,NA,NA,NA,NA,NA
"1055","BENISHANGUL-GUMUZ","Mender- Sebat ","June","2017",NA,NA,"14.00","-","10.00","-","-","-","-","23.69",NA,NA,NA,NA,NA,NA
"1056","BENISHANGUL-GUMUZ","Asossa","June","2017","34.53730603","10.05784932","13.00","10.00","14.00","14.00","-","-","-","32.16",NA,NA,NA,NA,NA,NA
"1057","BENISHANGUL-GUMUZ","Bambasi","June","2017","34.73046863","9.751504664","16.03","13.63","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1058","BENISHANGUL-GUMUZ","Kemashi","June","2017","35.85916991","9.515450626","-","11.66","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1059","BENISHANGUL-GUMUZ","Agelo- meti ","June","2017","35.77048443","9.640776618","14.48","11.39","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1060","BENISHANGUL-GUMUZ","AVERA","June","2017",NA,NA,"13.84","11.60","11.89","14.00","-","-","-","28.20",NA,NA,NA,NA,NA,NA
"1061","SOMALIE","Shinile","March","2017","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1062","SOMALIE","Arere","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","-","-","-"
"1063","SOMALIE","Jigjiga","March","2017","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","17.06","-","17.33","-","36.00"
"1064","SOMALIE","Hartshek","March","2017","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1065","SOMALIE","Dolo","March","2017","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","16.31","-","-","-","-"
"1066","SOMALIE","Moyale","March","2017","3.527","39.056",NA,NA,NA,NA,NA,"-","25.33",NA,"13.66","12.00","-","-","-","-"
"1067","BENISHANGUL-GUMUZ","Mambook","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"1068","BENISHANGUL-GUMUZ","Mender- Sebat ","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","10.00","-","-","-"
"1069","BENISHANGUL-GUMUZ","Asossa","March","2017","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","15.53"
"1070","BENISHANGUL-GUMUZ","Bambasi","March","2017","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"14.01","-","-","-","-","-"
"1071","BENISHANGUL-GUMUZ","Kemashi","March","2017","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"11.06","10.14","-","-","-","-"
"1072","BENISHANGUL-GUMUZ","Agelo- meti ","March","2017","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"10.61","11.07","-","-","-","-"
"1073","BENISHANGUL-GUMUZ","AVERA","March","2017",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"11.79","10.59","11.29","-","-","15.53"
"1074","SOMALIE","Shinile","May","2017","41.844013","9.686515","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1075","SOMALIE","Erere","May","2017",NA,NA,"14.00","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1076","SOMALIE","Jigjiga","May","2017","42.792342","9.367259","15.00","-","-","17.49","-","-","-","36.50",NA,NA,NA,NA,NA,NA
"1077","SOMALIE","Kebribeya","May","2017",NA,NA,"-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1078","SOMALIE","Dolo","May","2017","42.059257","4.179211","-","20.00","-","-","-","-","20.00","-",NA,NA,NA,NA,NA,NA
"1079","SOMALIE","Moyale","May","2017","3.527","39.056","14.49","-","-","14.49","-","32.40","-","-",NA,NA,NA,NA,NA,NA
"1080","BENISHANGUL-GUMUZ","Mambook","May","2017",NA,NA,"12.00","-","12.00","-","-","-","-","29.42",NA,NA,NA,NA,NA,NA
"1081","BENISHANGUL-GUMUZ","Mender- Sebat ","May","2017",NA,NA,"14.00","-","10.00","-","-","-","-","23.69",NA,NA,NA,NA,NA,NA
"1082","BENISHANGUL-GUMUZ","Asossa","May","2017","34.53730603","10.05784932","13.00","10.00","14.00","14.00","-","-","-","32.16",NA,NA,NA,NA,NA,NA
"1083","BENISHANGUL-GUMUZ","Bambasi","May","2017","34.73046863","9.751504664","16.03","13.63","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1084","BENISHANGUL-GUMUZ","Kemashi","May","2017","35.85916991","9.515450626","-","11.66","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1085","BENISHANGUL-GUMUZ","Agelo- meti ","May","2017","35.77048443","9.640776618","14.48","11.39","-","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"1086","BENISHANGUL-GUMUZ","AVERA","May","2017",NA,NA,"13.84","11.60","11.89","14.00","-","-","-","28.20",NA,NA,NA,NA,NA,NA
"1087","SOMALIE","Shinile","November","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1088","SOMALIE","Arere","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.66","-","-","-","-","-"
"1089","SOMALIE","Jigjiga","November","2016","42.792342","9.367259",NA,NA,NA,NA,NA,"-","-",NA,"15.00","-","15.00","17.00","-","36.00"
"1090","SOMALIE","Hartshek","November","2016","43.356499","9.161111",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1091","SOMALIE","Dolo","November","2016","42.059257","4.179211",NA,NA,NA,NA,NA,"-","-",NA,"-","15.00","-","-","-","-"
"1092","SOMALIE","Moyale","November","2016","3.527","39.056",NA,NA,NA,NA,NA,"-","40.00",NA,"14.33","12.63","-","-","-","-"
"1093","BENISHANGUL-GUMUZ","Mambook","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","-","-","-"
"1094","BENISHANGUL-GUMUZ","Mender- Sebat ","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.16","-","9.00","-","-","11.95"
"1095","BENISHANGUL-GUMUZ","Asossa","November","2016","34.53730603","10.05784932",NA,NA,NA,NA,NA,"-","-",NA,"10.00","10.00","10.00","-","-","-"
"1096","BENISHANGUL-GUMUZ","Bambasi","November","2016","34.73046863","9.751504664",NA,NA,NA,NA,NA,"-","-",NA,"14.25","12.42","-","-","-","-"
"1097","BENISHANGUL-GUMUZ","Kemashi","November","2016","35.85916991","9.515450626",NA,NA,NA,NA,NA,"-","-",NA,"-","9.56","-","-","-","-"
"1098","BENISHANGUL-GUMUZ","Agelo- meti ","November","2016","35.77048443","9.640776618",NA,NA,NA,NA,NA,"-","-",NA,"14.18","11.44","-","-","-","-"
"1099","BENISHANGUL-GUMUZ","AVERA","November","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"12.41","10.80","10.26","-","-","11.95"
"1100","SOMALIE","Shinile","October","2016","41.844013","9.686515",NA,NA,NA,NA,NA,"-","-",NA,"-","-","-","-","-","-"
"1101","SOMALIE","Arere","October","2016",NA,NA,NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","-","-","-","-"
