"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","P R I C E   I N    B I R R_Malt-Barley"
"667","SNNP","Yirega-¦ chefie ","June","2017","38.1988827","6.16095383","13.00","-","-","12.00","-","-","-","15.00",NA,NA,NA,NA,NA,NA
"668","SNNP","Welikite","March","2017","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"10.20","-","10.30","-","-","28.44"
"669","SNNP","Butajira","March","2017","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.72","9.09","10.35","11.29","-","15.92"
"670","SNNP","Hosahna","March","2017","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"10.00","7.00","10.00","-","-","14.64"
"671","SNNP","Shone","March","2017","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"10.00","7.50","8.00","-","-","-"
"672","SNNP","Doyugena","March","2017","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"8.00","7.65","8.00","-","-","18.52"
"673","SNNP","Alaba","March","2017","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","16.70"
"674","SNNP","Awasa","March","2017","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.00","-","41.96"
"675","SNNP","Hagere- Selam ","March","2017","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"8.43","-","-","-","-","11.60"
"676","SNNP","Dilla","March","2017","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","10.97","-","-"
"677","SNNP","Yirega-¦ chefie ","March","2017","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.00","9.00","-","-","-","19.66"
"678","SNNP","Welikite","May","2017","37.77266735","8.27732366","12.70","-","12.85","-","-","-","-","27.78",NA,NA,NA,NA,NA,NA
"679","SNNP","Butajira","May","2017","38.42140499","8.173264069","11.04","11.71","12.54","12.31","-","-","-","16.29",NA,NA,NA,NA,NA,NA
"680","SNNP","Hosahna","May","2017","37.84747123","7.538579317","12.00","10.00","11.25","-","-","-","-","14.13",NA,NA,NA,NA,NA,NA
"681","SNNP","Shone","May","2017","37.94869425","7.134857075","12.00","8.00","12.00","-","-","-","-","-",NA,NA,NA,NA,NA,NA
"682","SNNP","Doyugena","May","2017","37.78333","7.33333","10.00","10.36","11.00","-","-","-","-","16.24",NA,NA,NA,NA,NA,NA
"683","SNNP","Alaba","May","2017","38.086143","7.311546","12.00","-","12.00","-","-","-","-","18.43",NA,NA,NA,NA,NA,NA
"684","SNNP","Awasa","May","2017","38.474819","7.058624","13.00","-","12.49","14.00","-","-","-","41.06",NA,NA,NA,NA,NA,NA
"685","SNNP","Hagere- Selam ","May","2017","38.51921184","6.513880636","9.28","-","-","-","-","-","-","12.50",NA,NA,NA,NA,NA,NA
"686","SNNP","Dilla","May","2017","38.30745962","6.410516676","12.00","-","12.00","10.49","-","-","-","-",NA,NA,NA,NA,NA,NA
"687","SNNP","Yirega-¦ chefie ","May","2017","38.1988827","6.16095383","13.00","-","-","12.00","-","-","-","15.00",NA,NA,NA,NA,NA,NA
"688","SNNP","Welikite","November","2016","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"10.65","-","10.66","-","-","20.30"
"689","SNNP","Butajira","November","2016","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.42","10.11","11.80","11.73","-","15.22"
"690","SNNP","Hosahna","November","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"13.00","6.75","8.83","-","-","13.96"
"691","SNNP","Shone","November","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"10.00","7.75","10.00","-","-","-"
"692","SNNP","Doyugena","November","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"8.50","-","7.65","-","-","19.87"
"693","SNNP","Alaba","November","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","11.00","-","-","-","15.01"
"694","SNNP","Awasa","November","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.00","-","33.10"
"695","SNNP","Hagere- Selam ","November","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"9.67","-","-","-","-","10.77"
"696","SNNP","Dilla","November","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","12.00","10.66","-","-"
"697","SNNP","Yirega-¦ chefie ","November","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"11.32","-","-","-","-","14.00"
"698","SNNP","Welikite","October","2016","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"11.49","-","11.49","-","-","23.15"
"699","SNNP","Butajira","October","2016","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"9.38","10.77","12.12","9.47","-","19.06"
"700","SNNP","Hosahna","October","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","-","-","13.96"
"701","SNNP","Shone","October","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"10.00","8.00","8.16","10.00","-","-"
"702","SNNP","Doyugena","October","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"8.00","-","8.00","-","-","19.23"
"703","SNNP","Alaba","October","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","21.54"
"704","SNNP","Awasa","October","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","13.00","-","32.85"
"705","SNNP","Hagere- Selam ","October","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"8.88","-","-","-","-","10.77"
"706","SNNP","Dilla","October","2016","38.30745962","6.410516676",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.66","10.66","-","-"
"707","SNNP","Yirega-¦ chefie ","October","2016","38.1988827","6.16095383",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","-","-","-","15.00"
"708","SNNP","Welikite","September","2016","37.77266735","8.27732366",NA,NA,NA,NA,NA,"-","-",NA,"11.16","-","11.49","-","-","20.84"
"709","SNNP","Butajira","September","2016","38.42140499","8.173264069",NA,NA,NA,NA,NA,"-","-",NA,"10.40","10.25","11.11","10.22","-","16.65"
"710","SNNP","Hosahna","September","2016","37.84747123","7.538579317",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","11.66","-","-","15.01"
"711","SNNP","Shone","September","2016","37.94869425","7.134857075",NA,NA,NA,NA,NA,"-","-",NA,"9.43","7.55","8.93","-","-","-"
"712","SNNP","Doyugena","September","2016","37.78333","7.33333",NA,NA,NA,NA,NA,"-","-",NA,"10.35","9.68","10.72","-","-","19.36"
"713","SNNP","Alaba","September","2016","38.086143","7.311546",NA,NA,NA,NA,NA,"-","-",NA,"12.00","-","11.00","-","-","16.23"
"714","SNNP","Awasa","September","2016","38.474819","7.058624",NA,NA,NA,NA,NA,"-","-",NA,"13.00","-","12.00","12.32","-","32.14"
"715","SNNP","Hagere- Selam ","September","2016","38.51921184","6.513880636",NA,NA,NA,NA,NA,"-","-",NA,"9.28","-","-","-","-","9.41"
