"","Region","Market","Month","Year","Longitude","Latitude","pkg.mai.maize","pkg.mai.millm"
"1313","Tigray","Adigrat","March",2018,39.46033457,14.26667752,8,NA
"1314","Tigray","Wukiro","March",2018,39.599747,13.796083,8,12.8
"1315","Tigray","Mai- Chew ","March",2018,39.541533,12.78792086,9.76,10.7
"1316","Tigray","Mekelle","March",2018,39.47221911,13.48719005,8,NA
"1317","Afar","Ayisaeta","March",2018,41.43333,11.56667,8.49,11
"1318","Afar","Semera Logia ","March",2018,NA,NA,10,NA
"1319","Afar","Melka Werers ","March",2018,40.18154914,9.340880502,8,10.49
"1320","Afar","Sebat Killo ","March",2018,8.983333333,40.16666667,9.25,NA
"1321","Tigray","Enda- Silase ","May",2018,38.27211005,14.08944251,7.97,NA
"1322","Tigray","Enda- Baguna ","May",2018,38.19317204,13.97860867,8.27,NA
"1323","Tigray","Adwa","May",2018,38.88818805,14.14845458,8.5,NA
"1324","Tigray","Axum","May",2018,38.71879888,14.11130791,NA,NA
"1325","Tigray","Adigrat","May",2018,39.46033457,14.26667752,7.65,NA
"1326","Tigray","Wukiro","May",2018,39.599747,13.796083,7.9,12.8
"1327","Tigray","Mai- Chew ","May",2018,39.541533,12.78792086,10.95,13.28
"1328","Tigray","Mekelle","May",2018,39.47221911,13.48719005,8.25,NA
"1329","Afar","Ayisaeta","May",2018,41.43333,11.56667,6,10.49
"1330","Afar","Semera Logia ","May",2018,NA,NA,8,NA
"1331","Afar","Melka Werers ","May",2018,40.18154914,9.340880502,9.49,11.49
"1332","Afar","Sebat Killo ","May",2018,8.983333333,40.16666667,8,NA
"1333","Tigray","Enda- Silase ","November",2017,38.27211005,14.08944251,7.91,NA
"1334","Tigray","Enda- Baguna ","November",2017,38.19317204,13.97860867,8.03,NA
"1335","Tigray","Adwa","November",2017,38.88818805,14.14845458,9.5,NA
"1336","Tigray","Axum","November",2017,38.71879888,14.11130791,8.26,NA
"1337","Tigray","Adigrat","November",2017,39.46033457,14.26667752,10,NA
"1338","Tigray","Wukiro","November",2017,39.599747,13.796083,10,12.6
"1339","Tigray","Mai- Chew ","November",2017,39.541533,12.78792086,10.85,10.73
"1340","Tigray","Mekelle","November",2017,39.47221911,13.48719005,9.5,NA
"1341","Afar","Ayisaeta","November",2017,41.43333,11.56667,8,11.49
"1342","Afar","Semera Logia ","November",2017,NA,NA,8,10
"1343","Afar","Melka Werers ","November",2017,40.18154914,9.340880502,9.75,11.49
"1344","Afar","Sebat Killo ","November",2017,8.983333333,40.16666667,9,NA
"1345","Tigray","Enda- Silase ","October",2017,38.27211005,14.08944251,8.17,12
"1346","Tigray","Enda- Baguna ","October",2017,38.19317204,13.97860867,6.95,NA
"1347","Tigray","Adwa","October",2017,38.88818805,14.14845458,9,NA
"1348","Tigray","Axum","October",2017,38.71879888,14.11130791,6.88,NA
"1349","Tigray","Adigrat","October",2017,39.46033457,14.26667752,10,NA
"1350","Tigray","Wukiro","October",2017,39.599747,13.796083,9.75,12.6
"1351","Tigray","Mai- Chew ","October",2017,39.541533,12.78792086,10.83,11.05
"1352","Tigray","Mekelle","October",2017,39.47221911,13.48719005,9.75,NA
"1353","Afar","Ayisaeta","October",2017,41.43333,11.56667,8.49,11
"1354","Afar","Semera Logia ","October",2017,NA,NA,NA,NA
"1355","Afar","Melka Werers ","October",2017,40.18154914,9.340880502,10,11.49
"1356","Afar","Sebat Killo ","October",2017,8.983333333,40.16666667,10,NA
"1357","Tigray","Enda- Silase ","September",2017,38.27211005,14.08944251,8.4,NA
"1358","Tigray","Enda- Baguna ","September",2017,38.19317204,13.97860867,8.42,NA
"1359","Tigray","Adwa","September",2017,38.88818805,14.14845458,10.25,NA
"1360","Tigray","Axum","September",2017,38.71879888,14.11130791,8.15,NA
"1361","Tigray","Adigrat","September",2017,39.46033457,14.26667752,10,NA
"1362","Tigray","Wukiro","September",2017,39.599747,13.796083,10,12.8
"1363","Tigray","Mai- Chew ","September",2017,39.541533,12.78792086,10.82,10.82
"1364","Tigray","Mekelle","September",2017,39.47221911,13.48719005,9,NA
"1365","Afar","Ayisaeta","September",2017,41.43333,11.56667,7.48,11
"1366","Afar","Semera Logia ","September",2017,NA,NA,NA,NA
"1367","Afar","Melka Werers ","September",2017,40.18154914,9.340880502,10.49,12
"1368","Afar","Sebat Killo ","September",2017,8.983333333,40.16666667,9.75,NA
