"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1235","TIGRAY","Mekelle","June","2017","39.47221911","13.48719005","4.55","10.00","-","12.49","-","37.42","-","-","62.45","45.00","32.40",NA,NA,NA,NA,NA
"1236","AFAR","Ayisaeta","June","2017","41.43333","11.56667","5.83","13.49","-","-","26.98","-","-","-","32.00","-","-",NA,NA,NA,NA,NA
"1237","AFAR","Dubti","June","2017","41.08260323","11.72765333","5.60","14.00","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1238","AFAR","Melka Werers ","June","2017","40.18154914","9.340880502","3.69","-","-","18.00","-","30.00","-","-","40.00","22.36","-",NA,NA,NA,NA,NA
"1239","AFAR","Sebat killo ","June","2017","8.983333333","40.16666667","3.69","11.49","-","-","-","35.00","-","-","-","18.97","-",NA,NA,NA,NA,NA
"1240","TIGRAY","Enda- silase ","March","2017","38.27211005","14.08944251",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.80","-","-","4.38","-"
"1241","TIGRAY","Enda- baguna ","March","2017","38.19317204","13.97860867",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.95","-","7.84","4.38","-"
"1242","TIGRAY","Adwa","March","2017","38.88818805","14.14845458",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","-","-","4.38","-"
"1243","TIGRAY","Axum","March","2017","38.71879888","14.11130791",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.04","-","-","4.38","-"
"1244","TIGRAY","Adigrat","March","2017","39.46033457","14.26667752",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.65","-","7.49","4.49","-"
"1245","TIGRAY","Wukiro","March","2017","39.599747","13.796083",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.27","-","9.86","3.85","28.70"
"1246","TIGRAY","Mai- chew ","March","2017","39.541533","12.78792086",NA,NA,NA,NA,NA,NA,"6.70","-",NA,NA,NA,"6.98","-","9.76","4.38","24.86"
"1247","TIGRAY","Mekelle","March","2017","39.47221911","13.48719005",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.16","-","12.97","4.55","45.00"
"1248","AFAR","Ayisaeta","March","2017","41.43333","11.56667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.66","-","-","5.75","-"
"1249","AFAR","Dubti","March","2017","41.08260323","11.72765333",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.66","-","-","4.67","-"
"1250","AFAR","Melka Werers ","March","2017","40.18154914","9.340880502",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.49","-","-","3.63","19.50"
"1251","AFAR","Sebat killo ","March","2017","8.983333333","40.16666667",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.32","-","-","-","17.49"
"1252","TIGRAY","Enda- silase ","May","2017","38.27211005","14.08944251","4.31","13.44","-","7.05","30.98","32.00","-","-","33.47","-","27.39",NA,NA,NA,NA,NA
"1253","TIGRAY","Enda- baguna ","May","2017","38.19317204","13.97860867","4.38","12.50","-","-","-","-","-","-","30.00","-","-",NA,NA,NA,NA,NA
"1254","TIGRAY","Adwa","May","2017","38.88818805","14.14845458","4.38","8.00","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1255","TIGRAY","Axum","May","2017","38.71879888","14.11130791","4.38","9.06","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1256","TIGRAY","Adigrat","May","2017","39.46033457","14.26667752","4.55","8.75","-","7.25","-","-","-","-","30.00","-","-",NA,NA,NA,NA,NA
"1257","TIGRAY","Wukiro","May","2017","39.599747","13.796083","3.85","8.00","-","8.76","-","-","-","-","35.00","29.73","-",NA,NA,NA,NA,NA
"1258","TIGRAY","Mai- chew ","May","2017","39.541533","12.78792086","3.92","8.01","-","11.28","-","50.00","6.96","-","-","25.40","-",NA,NA,NA,NA,NA
"1259","TIGRAY","Mekelle","May","2017","39.47221911","13.48719005","4.55","10.00","-","12.49","-","37.42","-","-","62.45","45.00","32.40",NA,NA,NA,NA,NA
"1260","AFAR","Ayisaeta","May","2017","41.43333","11.56667","5.83","13.49","-","-","26.98","-","-","-","32.00","-","-",NA,NA,NA,NA,NA
"1261","AFAR","Dubti","May","2017","41.08260323","11.72765333","5.60","14.00","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"1262","AFAR","Melka Werers ","May","2017","40.18154914","9.340880502","3.69","-","-","18.00","-","30.00","-","-","40.00","22.36","-",NA,NA,NA,NA,NA
"1263","AFAR","Sebat killo ","May","2017","8.983333333","40.16666667","3.69","11.49","-","-","-","35.00","-","-","-","18.97","-",NA,NA,NA,NA,NA
"1264","TIGRAY","Enda- silase ","November","2016","38.27211005","14.08944251",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.90","-","8.29","4.38","-"
