"","Region","Market","Month","Year","Longitude","Latitude","01.1 FOOD_Bread Wheat (Bakery)","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat White","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Wheat Black (Red)","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (shelled) Aja","01.1.1.2 UNMILLED CEREALS/GRAINS_Emmer Wheat (unshelled)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","CEREALS MILLED_Emmer Wheat(Aja)","01.2.1.1 COFFEE AND TEA_Malt-Wheat","P R I C E   I N    B I R R_Porridge 'bula' or wheat","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"28","AMHARA","Esete","August","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.52","-","5.92","4.19","9.99"
"29","AMHARA","Debre- Tabor ","August","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.80","-","7.38","4.52","-"
"30","AMHARA","Kobo","August","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.13","-","12.28","4.72","-"
"31","AMHARA","Weldiya","August","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.38","-","11.88","4.72","27.33"
"32","AMHARA","Kombolcha","August","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.77","-","12.64","4.53","42.02"
"33","AMHARA","Dessie","August","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.83","7.48","11.99","4.10","22.66"
"34","AMHARA","Shewa- Robit ","August","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.60","-","12.97","5.05","-"
"35","AMHARA","Debre-¦","August","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.50","7.50","-","5.65","-"
"36","AMHARA","Chuahit","December","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"37","AMHARA","Gondar","December","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.53","-"
"38","AMHARA","Esete","December","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.83","-","6.22","-","-"
"39","AMHARA","Debre- Tabor ","December","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.93","-","7.85","3.81","-"
"40","AMHARA","Kobo","December","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.45","-","-","4.61","-"
"41","AMHARA","Weldiya","December","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.47","-","12.14","4.38","27.33"
"42","AMHARA","Kombolcha","December","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.42","-","11.49","4.78","57.71"
"43","AMHARA","Dessie","December","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.49","-","9.24","4.14","16.29"
"44","AMHARA","Shewa- Robit ","December","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.90","-","-","5.52","-"
"45","AMHARA","Debre-¦","December","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.50","6.83","-","5.44","-"
"46","AMHARA","Chuahit","February","2017","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"47","AMHARA","Gondar","February","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.53","15.00"
"48","AMHARA","Esete","February","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.39","-","7.10","5.22","14.23"
"49","AMHARA","Debre- Tabor ","February","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.55","-","8.09","4.66","12.05"
"50","AMHARA","Kobo","February","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.66","-","11.72","4.53","-"
"51","AMHARA","Weldiya","February","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.08","-","11.37","4.38","24.20"
"52","AMHARA","Kombolcha","February","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.03","-","11.63","4.95","47.65"
"53","AMHARA","Dessie","February","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.35","-","-","4.03","16.15"
"54","AMHARA","Shewa- Robit ","February","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.28","-","10.96","5.61","-"
"55","AMHARA","Debre-¦","February","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","7.65","-","5.44","-"
"56","AMHARA","Chuahit","January","2017","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"57","AMHARA","Gondar","January","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.53","15.00"
"58","AMHARA","Esete","January","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.59","-","6.63","3.94","12.43"
"59","AMHARA","Debre- Tabor ","January","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.05","-","7.17","3.88","-"
"60","AMHARA","Kobo","January","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.03","-","14.06","4.88","-"
"61","AMHARA","Weldiya","January","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.87","-","9.89","4.38","19.36"
"62","AMHARA","Kombolcha","January","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.38","-","-","4.96","-"
"63","AMHARA","Dessie","January","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.23","-","7.88","4.14","15.77"
"64","AMHARA","Shewa- Robit ","January","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.05","-","-","5.55","-"
"65","AMHARA","Debre-¦","January","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.32","7.33","-","5.38","-"
"66","AMHARA","Chuahit","July","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","4.43","15.26"
"67","AMHARA","Gondar","July","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.00","-","-","4.53","14.33"
"68","AMHARA","Esete","July","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.63","-","6.02","4.28","11.95"
"69","AMHARA","Debre- Tabor ","July","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.81","-","6.60","4.34","13.45"
"70","AMHARA","Kobo","July","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.08","-","14.39","4.21","-"
"71","AMHARA","Weldiya","July","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.12","-","12.66","4.72","24.20"
"72","AMHARA","Kombolcha","July","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.17","-","-","4.78","42.02"
"73","AMHARA","Dessie","July","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.72","7.11","12.60","3.91","23.55"
"74","AMHARA","Shewa- Robit ","July","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.00","-","-","5.05","-"
"75","AMHARA","Debre-¦","July","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.00","7.00","-","-","-"
"76","AMHARA","Chuahit","June","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"77","AMHARA","Gondar","June","2017","37.46149667","12.59878688","4.38","11.75","-","9.00","-","35.00","-","-","35.00","16.00","-",NA,NA,NA,NA,NA
"78","AMHARA","Esete","June","2017","37.88657423","10.92298692","3.87","8.23","-","8.34","-","-","-","-","40.00","13.24","-",NA,NA,NA,NA,NA
"79","AMHARA","Debre- Tabor ","June","2017","38.00833967","11.84769551","4.64","10.37","-","8.76","-","34.50","-","-","38.99","15.27","-",NA,NA,NA,NA,NA
"80","AMHARA","Kobo","June","2017","39.63127424","12.16406542","4.61","10.12","-","12.40","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"81","AMHARA","Weldiya","June","2017","39.6014117","11.82360232","4.38","9.21","-","10.68","-","45.50","-","-","-","24.40","-",NA,NA,NA,NA,NA
"82","AMHARA","Kombolcha","June","2017","39.73724188","11.07807805","4.20","8.67","-","11.56","18.44","42.50","-","-","-","-","-",NA,NA,NA,NA,NA
"83","AMHARA","Dessie","June","2017","39.63548793","11.11703902","4.55","6.87","-","6.50","12.00","32.00","-","-","-","21.28","-",NA,NA,NA,NA,NA
"84","AMHARA","Shewa- Robit ","June","2017","39.90269733","10.00580856","4.37","11.74","-","11.94","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"85","AMHARA","Debre-¦","June","2017","39.52890047","9.67650294","4.81","9.50","8.80","-","-","32.00","-","-","28.00","35.60","-",NA,NA,NA,NA,NA
"86","AMHARA","Chuahit","March","2017","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"87","AMHARA","Gondar","March","2017","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.69","15.00"
"88","AMHARA","Esete","March","2017","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.78","-","7.25","4.36","12.49"
"89","AMHARA","Debre- Tabor ","March","2017","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.45","-","8.21","4.82","-"
"90","AMHARA","Kobo","March","2017","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.38","-","12.60","5.08","-"
"91","AMHARA","Weldiya","March","2017","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.63","-","11.11","4.38","24.20"
"92","AMHARA","Kombolcha","March","2017","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.33","-","11.76","4.69","-"
"93","AMHARA","Dessie","March","2017","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.69","-","-","4.03","15.92"
"94","AMHARA","Shewa- Robit ","March","2017","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.89","-","-","5.66","-"
"95","AMHARA","Debre-¦","March","2017","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.16","7.50","-","4.81","-"
"96","AMHARA","Chuahit","May","2017","39.311961","10.643157","4.42","-","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"97","AMHARA","Gondar","May","2017","37.46149667","12.59878688","4.38","11.75","-","9.00","-","35.00","-","-","35.00","16.00","-",NA,NA,NA,NA,NA
"98","AMHARA","Esete","May","2017","37.88657423","10.92298692","3.87","8.23","-","8.34","-","-","-","-","40.00","13.24","-",NA,NA,NA,NA,NA
"99","AMHARA","Debre- Tabor ","May","2017","38.00833967","11.84769551","4.64","10.37","-","8.76","-","34.50","-","-","38.99","15.27","-",NA,NA,NA,NA,NA
"100","AMHARA","Kobo","May","2017","39.63127424","12.16406542","4.61","10.12","-","12.40","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"101","AMHARA","Weldiya","May","2017","39.6014117","11.82360232","4.38","9.21","-","10.68","-","45.50","-","-","-","24.40","-",NA,NA,NA,NA,NA
"102","AMHARA","Kombolcha","May","2017","39.73724188","11.07807805","4.20","8.67","-","11.56","18.44","42.50","-","-","-","-","-",NA,NA,NA,NA,NA
"103","AMHARA","Dessie","May","2017","39.63548793","11.11703902","4.55","6.87","-","6.50","12.00","32.00","-","-","-","21.28","-",NA,NA,NA,NA,NA
"104","AMHARA","Shewa- Robit ","May","2017","39.90269733","10.00580856","4.37","11.74","-","11.94","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"105","AMHARA","Debre-¦","May","2017","39.52890047","9.67650294","4.81","9.50","8.80","-","-","32.00","-","-","28.00","35.60","-",NA,NA,NA,NA,NA
"106","AMHARA","Chuahit","November","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"107","AMHARA","Gondar","November","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.32","-","-","4.53","16.00"
"108","AMHARA","Esete","November","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.01","-","6.06","-","10.47"
"109","AMHARA","Debre- Tabor ","November","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.77","-","7.09","4.12","13.31"
"110","AMHARA","Kobo","November","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.48","-","12.45","4.36","-"
"111","AMHARA","Weldiya","November","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.86","-","11.41","4.38","25.72"
"112","AMHARA","Kombolcha","November","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.60","-","-","4.95","40.45"
"113","AMHARA","Dessie","November","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.03","-","6.64","3.50","17.58"
"114","AMHARA","Shewa- Robit ","November","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.97","-","-","5.04","-"
"115","AMHARA","Debre-¦","November","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.50","6.83","-","5.44","-"
"116","AMHARA","Chuahit","October","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"117","AMHARA","Gondar","October","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.65","-","-","4.53","15.00"
"118","AMHARA","Esete","October","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.48","-","6.42","-","11.61"
"119","AMHARA","Debre- Tabor ","October","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.74","-","6.24","3.58","10.13"
"120","AMHARA","Kobo","October","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.90","-","13.37","4.53","45.65"
"121","AMHARA","Weldiya","October","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.61","-","10.38","4.38","24.20"
"122","AMHARA","Kombolcha","October","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.87","-","11.14","4.61","39.64"
"123","AMHARA","Dessie","October","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.16","6.46","11.67","4.17","-"
"124","AMHARA","Shewa- Robit ","October","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.27","-","-","5.04","-"
"125","AMHARA","Debre-¦","October","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.33","7.50","-","5.44","-"
"126","AMHARA","Chuahit","September","2016","39.311961","10.643157",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","-"
"127","AMHARA","Gondar","September","2016","37.46149667","12.59878688",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.83","-","-","4.53","16.33"
"128","AMHARA","Esete","September","2016","37.88657423","10.92298692",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.36","-","6.32","-","11.71"
"129","AMHARA","Debre- Tabor ","September","2016","38.00833967","11.84769551",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.83","-","8.28","4.28","-"
"130","AMHARA","Kobo","September","2016","39.63127424","12.16406542",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.10","-","14.46","4.88","-"
"131","AMHARA","Weldiya","September","2016","39.6014117","11.82360232",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","11.36","4.38","29.04"
"132","AMHARA","Kombolcha","September","2016","39.73724188","11.07807805",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.64","-","-","4.95","39.64"
"133","AMHARA","Dessie","September","2016","39.63548793","11.11703902",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.09","7.88","-","4.03","-"
"134","AMHARA","Shewa- Robit ","September","2016","39.90269733","10.00580856",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.03","-","-","5.04","-"
"135","AMHARA","Debre-¦","September","2016","39.52890047","9.67650294",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.33","7.66","-","5.44","-"
"136","AMHARa","Mota","April","2017","37.8807432","11.07475582","4.00","7.50","-","-","-","34.00","-","-","30.00","-","-",NA,NA,NA,NA,NA
"137","AMHARa","Debre- markos ","April","2017","37.72636868","10.33641293","4.64","7.06","-","11.19","19.78","28.46","-","-","37.42","17.82","-",NA,NA,NA,NA,NA
"138","AMHARa","Dembecha","April","2017","37.48251554","10.56669266","4.38","7.83","-","-","15.14","26.50","-","-","40.00","-","-",NA,NA,NA,NA,NA
"139","AMHARa","Bahir- Dar ","April","2017","37.3815488","11.58416449","3.97","13.49","-","13.49","-","36.99","-","-","42.43","20.00","-",NA,NA,NA,NA,NA
"140","AMHARa","Sekota","April","2017","39.03355257","12.62479803","4.38","8.02","-","-","-","40.00","-","-","-","-","-",NA,NA,NA,NA,NA
"141","AMHARa","Amde Work ","April","2017","38.85815043","12.45920199","7.00","9.25","-","-","-","-","-","-","-","-","-",NA,NA,NA,NA,NA
"142","AMHARa","Danigla","April","2017","36.83153176","11.25223153","4.38","11.94","-","-","20.32","-","-","-","44.72","21.08","-",NA,NA,NA,NA,NA
"143","AMHARa","Chagni","April","2017","36.50793596","10.95196565","4.61","10.00","-","-","-","32.50","-","-","40.00","17.41","-",NA,NA,NA,NA,NA
"144","AMHARa","Kemise","April","2017","39.85696873","10.71374234","4.13","11.08","-","11.43","-","40.00","-","-","-","30.00","-",NA,NA,NA,NA,NA
"145","AMHARa","Bati","April","2017","40.0181327","11.19153266","7.78","-","-","-","-","-","-","-","33.47","-","-",NA,NA,NA,NA,NA
"146","AMHARa","Mota","August","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.03","-","-","3.97","-"
"147","AMHARa","Debre- markos ","August","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.32","-","9.52","5.12","18.78"
"148","AMHARa","Dembecha","August","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.68","-","-","4.38","-"
"149","AMHARa","Bahir- Dar ","August","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.98","-","14.33","3.97","20.00"
"150","AMHARa","Sekota","August","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.93","-","-","4.14","-"
"151","AMHARa","Amde Work ","August","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.80","-","-","3.50","-"
"152","AMHARa","Danigla","August","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.54","-","-","4.38","22.31"
"153","AMHARa","Chagni","August","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","5.44","17.16"
"154","AMHARa","Kemise","August","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","7.01","-","3.89","23.54"
"155","AMHARa","Bati","August","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","6.56","-"
"156","AMHARa","Mota","December","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.19","-","-","4.21","-"
"157","AMHARa","Debre- markos ","December","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.92","-","-","4.42","20.56"
"158","AMHARa","Dembecha","December","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.05","-","-","4.38","-"
"159","AMHARa","Bahir- Dar ","December","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.33","-","11.97","3.97","20.00"
"160","AMHARa","Sekota","December","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.79","-","-","4.38","-"
"161","AMHARa","Amde Work ","December","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.76","-","-","4.38","-"
"162","AMHARa","Danigla","December","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.61","-","-","4.26","21.45"
"163","AMHARa","Chagni","December","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.32","-","-","4.95","17.66"
"164","AMHARa","Kemise","December","2016","39.85696873","10.71374234",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.96","10.99","11.08","4.05","24.66"
"165","AMHARa","Bati","December","2016","40.0181327","11.19153266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","8.09","-"
"166","AMHARa","Mota","February","2017","37.8807432","11.07475582",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.00","-","-","3.91","-"
"167","AMHARa","Debre- markos ","February","2017","37.72636868","10.33641293",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.09","-","11.00","4.42","14.57"
"168","AMHARa","Dembecha","February","2017","37.48251554","10.56669266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.33","-","-","4.24","-"
"169","AMHARa","Bahir- Dar ","February","2017","37.3815488","11.58416449",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.33","-","13.33","3.97","20.00"
"170","AMHARa","Sekota","February","2017","39.03355257","12.62479803",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.01","-","-","4.06","-"
"171","AMHARa","Amde Work ","February","2017","38.85815043","12.45920199",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.75","-","-","7.00","-"
"172","AMHARa","Danigla","February","2017","36.83153176","11.25223153",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"12.12","-","-","4.38","25.13"
"173","AMHARa","Chagni","February","2017","36.50793596","10.95196565",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.49","-","-","4.41","17.66"
"174","AMHARa","Kemise","February","2017","39.85696873","10.71374234",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","9.25","11.20","4.21","22.91"
"175","AMHARa","Bati","February","2017","40.0181327","11.19153266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","7.78","-"
"176","AMHARa","Mota","January","2017","37.8807432","11.07475582",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.15","-","-","4.13","-"
"177","AMHARa","Debre- markos ","January","2017","37.72636868","10.33641293",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.06","-","11.19","4.42","15.86"
"178","AMHARa","Dembecha","January","2017","37.48251554","10.56669266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.14","-","-","4.38","-"
"179","AMHARa","Bahir- Dar ","January","2017","37.3815488","11.58416449",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"14.66","-","14.00","3.97","20.00"
"180","AMHARa","Sekota","January","2017","39.03355257","12.62479803",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.12","-","-","4.38","-"
"181","AMHARa","Amde Work ","January","2017","38.85815043","12.45920199",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"8.16","-","-","4.78","-"
"182","AMHARa","Danigla","January","2017","36.83153176","11.25223153",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.43","-","-","4.38","20.71"
"183","AMHARa","Chagni","January","2017","36.50793596","10.95196565",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"10.00","-","-","4.41","17.71"
"184","AMHARa","Kemise","January","2017","39.85696873","10.71374234",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","9.05","-","4.05","25.02"
"185","AMHARa","Bati","January","2017","40.0181327","11.19153266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","7.78","-"
"186","AMHARa","Mota","July","2016","37.8807432","11.07475582",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"-","-","-","3.76","-"
"187","AMHARa","Debre- markos ","July","2016","37.72636868","10.33641293",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"6.77","-","10.34","4.75","16.45"
"188","AMHARa","Dembecha","July","2016","37.48251554","10.56669266",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"7.06","-","-","4.38","-"
"189","AMHARa","Bahir- Dar ","July","2016","37.3815488","11.58416449",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"13.66","-","13.66","3.97","18.64"
"190","AMHARa","Sekota","July","2016","39.03355257","12.62479803",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.64","-","-","4.26","-"
"191","AMHARa","Amde Work ","July","2016","38.85815043","12.45920199",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.71","-","-","3.50","-"
"192","AMHARa","Danigla","July","2016","36.83153176","11.25223153",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"11.65","-","-","4.20","22.31"
"193","AMHARa","Chagni","July","2016","36.50793596","10.95196565",NA,NA,NA,NA,NA,NA,"-","-",NA,NA,NA,"9.32","-","-","4.89","17.66"
