"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"691","SNNP","Sawla","January","2019","36.87437474","6.300226567","17.88","16.44","18.01","-","21.25","-","-","-",NA
"692","SNNP","Welayita","July","2018",NA,NA,"18.00","14.49","15.00","-","-","-","-","29.28",NA
"693","SNNP","Bodite","July","2018","37.89064905","7.038034865","18.00","16.49","17.49","-","-","-","-","18.81",NA
"694","SNNP","Jinka","July","2018","36.56441614","5.78310286","18.05","17.96","18.07","-","27.62","-","-","27.88",NA
"695","SNNP","Dimeka","July","2018","36.45041198","4.892522922","18.02","-","-","-","-","-","-","-",NA
"696","SNNP","Masha","July","2018","35.47956686","7.741652627","19.07","17.98","19.51","-","-","-","-","37.06",NA
"697","SNNP","Tepi","July","2018","35.36770327","7.320015599","15.49","14.00","15.00","-","-","35.00","40.00","29.49",NA
"698","SNNP","Boniga","July","2018","36.24008346","7.388535704","15.00","14.00","14.00","-","-","-","-","19.35",NA
"699","SNNP","Chana","July","2018","36.11775846","6.226550231","16.00","15.00","15.00","-","-","-","-","21.98",NA
"700","SNNP","Arbam- minch ","July","2018","37.5527474","6.024547891","15.49","-","14.49","-","-","-","-","18.52",NA
"701","SNNP","Sawla","July","2018","36.87437474","6.300226567","11.15","-","12.50","-","18.11","-","-","-",NA
"702","SNNP","Welayita","March","2019",NA,NA,"18.00","15.00","16.00","-","-","-","-","33.33",NA
"703","SNNP","Bodite","March","2019","37.89064905","7.038034865","18.00","15.00","18.00","-","-","-","-","21.28",NA
"704","SNNP","Jinka","March","2019","36.56441614","5.78310286","11.87","11.79","17.96","-","21.21","-","-","29.48",NA
"705","SNNP","Dimeka","March","2019","36.45041198","4.892522922","18.52","-","-","-","-","-","-","-",NA
"706","SNNP","Masha","March","2019","35.47956686","7.741652627","15.45","17.74","16.35","-","-","-","-","37.79",NA
"707","SNNP","Tepi","March","2019","35.36770327","7.320015599","15.00","13.49","-","-","-","35.00","-","31.01",NA
"708","SNNP","Boniga","March","2019","36.24008346","7.388535704","14.00","12.00","13.00","-","-","-","-","24.09",NA
"709","SNNP","Chana","March","2019","36.11775846","6.226550231","17.00","12.00","12.00","-","-","-","-","15.73",NA
"710","SNNP","Arbam- minch ","March","2019","37.5527474","6.024547891","17.49","-","17.49","-","-","-","-","20.99",NA
"711","SNNP","Sawla","March","2019","36.87437474","6.300226567","10.08","12.50","12.33","-","16.11","-","-","-",NA
"712","SNNP","Welayita","May","2019",NA,NA,"18.00","15.49","15.00","-","23.00","-","-","34.15",NA
"713","SNNP","Bodite","May","2019","37.89064905","7.038034865","17.49","17.00","18.00","-","-","-","-","23.59",NA
"714","SNNP","Jinka","May","2019","36.56441614","5.78310286","18.03","17.83","18.07","-","20.86","-","-","28.85",NA
"715","SNNP","Dimeka","May","2019","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA
"716","SNNP","Masha","May","2019","35.47956686","7.741652627","16.82","17.98","18.39","-","-","-","-","33.90",NA
"717","SNNP","Tepi","May","2019","35.36770327","7.320015599","-","14.00","15.00","-","-","40.00","-","29.42",NA
"718","SNNP","Boniga","May","2019","36.24008346","7.388535704","16.00","13.00","15.00","-","-","-","-","32.13",NA
"719","SNNP","Chana","May","2019","36.11775846","6.226550231","17.00","11.00","11.00","-","-","-","-","15.92",NA
"720","SNNP","Arbam- minch ","May","2019","37.5527474","6.024547891","18.00","-","17.49","-","-","-","-","22.22",NA
"721","SNNP","Sawla","May","2019","36.87437474","6.300226567","11.62","11.10","14.07","-","-","-","-","-",NA
"722","SNNP","Welayita","November","2018",NA,NA,"18.97","16.00","17.00","-","-","-","-","34.15",NA
"723","SNNP","Bodite","November","2018","37.89064905","7.038034865","18.00","17.00","18.00","-","-","-","-","22.95",NA
"724","SNNP","Jinka","November","2018","36.56441614","5.78310286","18.11","18.07","18.18","-","28.17","-","-","27.68",NA
"725","SNNP","Dimeka","November","2018","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA
"726","SNNP","Masha","November","2018","35.47956686","7.741652627","14.90","15.73","15.73","-","-","-","-","43.64",NA
"727","SNNP","Tepi","November","2018","35.36770327","7.320015599","16.00","13.49","-","-","-","35.00","40.00","26.02",NA
"728","SNNP","Boniga","November","2018","36.24008346","7.388535704","15.00","12.00","14.00","-","-","-","-","20.88",NA
"729","SNNP","Chana","November","2018","36.11775846","6.226550231","17.00","13.00","13.00","-","-","-","-","16.29",NA
"730","SNNP","Arbam- minch ","November","2018","37.5527474","6.024547891","17.00","-","16.49","-","-","-","-","19.75",NA
"731","SNNP","Sawla","November","2018","36.87437474","6.300226567","17.81","16.60","18.03","-","34.60","-","-","-",NA
"732","SNNP","Welayita","October","2018",NA,NA,"18.00","15.49","16.00","-","-","-","-","33.33",NA
"733","SNNP","Bodite","October","2018","37.89064905","7.038034865","17.49","16.00","16.49","18.00","-","-","-","22.43",NA
"734","SNNP","Jinka","October","2018","36.56441614","5.78310286","18.13","18.05","18.18","-","26.15","-","-","27.69",NA
"735","SNNP","Dimeka","October","2018","36.45041198","4.892522922","14.93","-","-","-","-","-","-","-",NA
"736","SNNP","Masha","October","2018","35.47956686","7.741652627","19.07","17.98","20.33","-","-","-","-","-",NA
"737","SNNP","Tepi","October","2018","35.36770327","7.320015599","16.00","14.00","15.00","-","-","35.00","40.00","32.79",NA
"738","SNNP","Boniga","October","2018","36.24008346","7.388535704","16.00","14.00","15.00","-","-","-","-","24.49",NA
"739","SNNP","Chana","October","2018","36.11775846","6.226550231","17.00","13.00","13.00","-","-","-","-","17.20",NA
"740","SNNP","Arbam- minch ","October","2018","37.5527474","6.024547891","16.49","-","16.49","-","-","-","-","20.99",NA
"741","SNNP","Sawla","October","2018","36.87437474","6.300226567","17.81","19.75","21.54","-","24.57","-","-","-",NA
"742","SNNP","Welayita","September","2018",NA,NA,"17.49","13.49","15.49","-","-","-","-","29.28",NA
"743","SNNP","Bodite","September","2018","37.89064905","7.038034865","17.49","16.00","18.00","18.00","-","-","-","23.04",NA
"744","SNNP","Jinka","September","2018","36.56441614","5.78310286","18.05","17.94","18.07","-","26.53","-","-","27.17",NA
"745","SNNP","Dimeka","September","2018","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA
"746","SNNP","Masha","September","2018","35.47956686","7.741652627","21.32","20.01","19.07","-","-","40.00","-","-",NA
"747","SNNP","Tepi","September","2018","35.36770327","7.320015599","16.00","14.00","15.00","-","-","35.00","40.00","32.79",NA
"748","SNNP","Boniga","September","2018","36.24008346","7.388535704","16.00","14.00","16.00","-","-","-","-","24.49",NA
"749","SNNP","Chana","September","2018","36.11775846","6.226550231","16.00","10.00","10.00","-","-","-","-","22.47",NA
"750","SNNP","Arbam- minch ","September","2018","37.5527474","6.024547891","17.00","-","17.49","-","-","-","-","19.75",NA
"751","SNNP","Sawla","September","2018","36.87437474","6.300226567","19.88","19.07","21.22","-","23.21","-","-","-",NA
"752","SNNP","Shewa- Bench ","April","2019",NA,NA,"16.00","10.00","12.00","-","-","50.00","40.00","39.22",NA
"753","SNNP","Mizan- Teferi ","April","2019","35.41120174","6.883477024","15.00","11.49","12.00","-","-","40.00","-","20.00",NA
"754","SNNP","Deri","April","2019","36.28577951","7.384839762","13.02","-","10.85","-","-","-","-","-",NA
"755","SNNP","Amaro Kele ","April","2019","6.083333333","38.03333333","16.22","-","16.56","16.22","19.67","-","-","-",NA
"756","SNNP","Soyama","April","2019","5.7","37.88333333","18.18","17.11","-","-","-","-","-","-",NA
"757","SNNP","Karate","April","2019","5.25","37.48333333","17.10","-","-","-","-","-","-","-",NA
"758","SNNP","Gidola","April","2019","37.34772952","5.647078098","17.07","15.87","16.74","-","13.15","-","-","-",NA
"759","SNNP","Tercha","April","2019","37.175334","7.146295","17.44","13.49","13.49","-","-","-","-","-",NA
"760","SNNP","Besite- chere ","April","2019",NA,NA,"20.00","16.49","-","-","-","-","-","-",NA
"761","SNNP","Lasoka","April","2019","36.60777815","6.30774507","9.44","-","9.62","-","19.67","-","-","18.63",NA
"762","SNNP","Amaya","April","2019","36.68000727","7.105541206","12.50","12.31","12.31","-","18.59","-","-","-",NA
"763","SNNP","Shewa- Bench ","August","2018",NA,NA,"16.49","14.49","16.49","-","-","38.99","-","23.84",NA
"764","SNNP","Mizan- Teferi ","August","2018","35.41120174","6.883477024","16.00","15.00","13.00","-","-","-","-","20.00",NA
"765","SNNP","Deri","August","2018","36.28577951","7.384839762","12.00","11.88","-","-","-","-","-","-",NA
"766","SNNP","Amaro Kele ","August","2018","6.083333333","38.03333333","15.28","-","15.49","17.93","19.26","-","-","-",NA
"767","SNNP","Soyama","August","2018","5.7","37.88333333","16.33","14.67","-","-","-","-","-","-",NA
"768","SNNP","Karate","August","2018","5.25","37.48333333","16.45","-","-","-","-","-","-","-",NA
"769","SNNP","Gidola","August","2018","37.34772952","5.647078098","17.28","14.17","17.29","-","23.34","-","-","-",NA
"770","SNNP","Tercha","August","2018","37.175334","7.146295","20.00","16.00","-","-","-","-","-","-",NA
"771","SNNP","Besite- chere ","August","2018",NA,NA,"20.00","15.00","17.00","-","-","-","-","-",NA
"772","SNNP","Lasoka","August","2018","36.60777815","6.30774507","15.09","14.39","15.38","-","22.65","-","-","34.50",NA
"773","SNNP","Amaya","August","2018","36.68000727","7.105541206","10.94","10.71","10.87","-","-","-","-","-",NA
"774","SNNP","Shewa- Bench ","December","2018",NA,NA,"16.00","12.00","14.00","-","-","45.00","35.00","34.50",NA
"775","SNNP","Mizan- Teferi ","December","2018","35.41120174","6.883477024","15.00","13.00","13.00","-","-","48.99","-","20.00",NA
"776","SNNP","Deri","December","2018","36.28577951","7.384839762","11.17","12.35","-","-","-","-","-","35.96",NA
"777","SNNP","Amaro Kele ","December","2018","6.083333333","38.03333333","16.67","-","17.84","-","19.67","-","-","-",NA
"778","SNNP","Soyama","December","2018","5.7","37.88333333","16.22","15.01","13.24","-","-","-","-","-",NA
"779","SNNP","Karate","December","2018","5.25","37.48333333","17.09","-","-","-","-","-","-","-",NA
"780","SNNP","Gidola","December","2018","37.34772952","5.647078098","19.19","16.09","17.58","-","21.98","-","-","-",NA
"781","SNNP","Tercha","December","2018","37.175334","7.146295","20.00","15.49","16.49","-","-","-","-","-",NA
"782","SNNP","Besite- chere ","December","2018",NA,NA,"20.00","16.00","18.00","-","-","-","-","-",NA
"783","SNNP","Lasoka","December","2018","36.60777815","6.30774507","14.98","-","14.65","-","37.46","-","-","30.87",NA
"784","SNNP","Amaya","December","2018","36.68000727","7.105541206","14.17","14.00","14.30","-","-","-","-","-",NA
"785","SNNP","Shewa- Bench ","February","2019",NA,NA,"17.00","15.00","17.00","-","-","45.00","40.00","30.86",NA
"786","SNNP","Mizan- Teferi ","February","2019","35.41120174","6.883477024","15.00","12.49","12.00","-","-","40.00","-","20.00",NA
"787","SNNP","Deri","February","2019","36.28577951","7.384839762","-","10.53","-","-","-","-","-","-",NA
"788","SNNP","Amaro Kele ","February","2019","6.083333333","38.03333333","14.09","-","16.02","14.87","17.40","-","-","-",NA
"789","SNNP","Soyama","February","2019","5.7","37.88333333","18.30","16.77","-","-","-","-","-","-",NA
"790","SNNP","Karate","February","2019","5.25","37.48333333","17.10","-","-","-","-","-","-","-",NA
"791","SNNP","Gidola","February","2019","37.34772952","5.647078098","16.46","14.64","17.58","-","21.98","-","-","-",NA
"792","SNNP","Tercha","February","2019","37.175334","7.146295","18.97","16.00","17.49","-","-","-","-","-",NA
"793","SNNP","Besite- chere ","February","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"794","SNNP","Lasoka","February","2019","36.60777815","6.30774507","9.62","10.00","11.61","-","31.38","-","-","24.84",NA
"795","SNNP","Amaya","February","2019","36.68000727","7.105541206","10.97","10.66","10.65","-","-","-","-","-",NA
"796","SNNP","Shewa- Bench ","January","2019",NA,NA,"16.00","13.00","15.49","-","-","42.43","35.00","37.06",NA
"797","SNNP","Mizan- Teferi ","January","2019","35.41120174","6.883477024","15.00","12.00","12.00","-","-","48.99","-","25.00",NA
"798","SNNP","Deri","January","2019","36.28577951","7.384839762","11.11","10.87","-","-","-","-","-","34.11",NA
"799","SNNP","Amaro Kele ","January","2019","6.083333333","38.03333333","16.67","-","19.48","-","21.74","-","-","-",NA
"800","SNNP","Soyama","January","2019","5.7","37.88333333","17.22","14.67","-","-","-","-","-","-",NA
"801","SNNP","Karate","January","2019","5.25","37.48333333","17.10","-","-","-","-","-","-","-",NA
"802","SNNP","Gidola","January","2019","37.34772952","5.647078098","16.87","14.81","17.58","-","20.87","-","-","-",NA
"803","SNNP","Tercha","January","2019","37.175334","7.146295","20.00","15.49","18.00","-","-","-","-","-",NA
"804","SNNP","Besite- chere ","January","2019",NA,NA,"20.00","16.00","17.00","-","-","-","-","-",NA
"805","SNNP","Lasoka","January","2019","36.60777815","6.30774507","15.09","-","16.00","-","35.81","-","-","30.87",NA
"806","SNNP","Amaya","January","2019","36.68000727","7.105541206","12.29","12.01","12.16","-","-","-","-","-",NA
"807","SNNP","Shewa- Bench ","July","2018",NA,NA,"18.00","15.00","16.00","-","-","40.00","-","30.86",NA
"808","SNNP","Mizan- Teferi ","July","2018","35.41120174","6.883477024","16.00","15.00","15.00","-","-","-","-","25.00",NA
"809","SNNP","Deri","July","2018","36.28577951","7.384839762","13.33","13.04","12.77","-","-","-","-","33.90",NA
"810","SNNP","Amaro Kele ","July","2018","6.083333333","38.03333333","13.43","-","16.35","16.33","19.56","-","-","-",NA
"811","SNNP","Soyama","July","2018","5.7","37.88333333","10.46","9.66","-","-","-","-","-","-",NA
"812","SNNP","Karate","July","2018","5.25","37.48333333","15.97","-","-","-","-","-","-","-",NA
"813","SNNP","Gidola","July","2018","37.34772952","5.647078098","14.81","13.07","16.47","-","23.82","-","-","-",NA
"814","SNNP","Tercha","July","2018","37.175334","7.146295","20.00","16.00","15.00","-","-","-","-","-",NA
"815","SNNP","Besite- chere ","July","2018",NA,NA,"20.00","20.00","18.00","-","-","-","-","-",NA
"816","SNNP","Lasoka","July","2018","36.60777815","6.30774507","15.69","15.38","15.69","-","20.00","-","-","20.81",NA
"817","SNNP","Amaya","July","2018","36.68000727","7.105541206","10.74","10.69","10.44","-","12.44","-","-","-",NA
"818","SNNP","Shewa- Bench ","March","2019",NA,NA,"16.49","12.00","15.00","-","-","50.00","40.00","35.14",NA
"819","SNNP","Mizan- Teferi ","March","2019","35.41120174","6.883477024","14.00","12.00","11.00","-","-","40.00","-","20.00",NA
"820","SNNP","Deri","March","2019","36.28577951","7.384839762","9.75","-","-","-","-","-","-","-",NA
"821","SNNP","Amaro Kele ","March","2019","6.083333333","38.03333333","14.97","-","16.67","15.79","18.58","-","-","-",NA
"822","SNNP","Soyama","March","2019","5.7","37.88333333","18.18","15.89","12.66","-","-","-","-","-",NA
"823","SNNP","Karate","March","2019","5.25","37.48333333","17.04","-","-","-","40.65","-","-","-",NA
"824","SNNP","Gidola","March","2019","37.34772952","5.647078098","14.12","12.05","14.12","-","-","-","-","-",NA
"825","SNNP","Tercha","March","2019","37.175334","7.146295","20.49","16.00","17.00","-","-","-","-","-",NA
"826","SNNP","Besite- chere ","March","2019",NA,NA,"20.00","15.00","17.49","-","-","-","-","-",NA
"827","SNNP","Lasoka","March","2019","36.60777815","6.30774507","9.81","9.62","9.81","-","21.06","-","-","16.71",NA
"828","SNNP","Amaya","March","2019","36.68000727","7.105541206","10.99","10.87","10.82","-","-","-","-","-",NA
"829","SNNP","Shewa- Bench ","May","2019",NA,NA,"16.00","10.00","12.00","-","-","40.00","35.00","33.33",NA
"830","SNNP","Mizan- Teferi ","May","2019","35.41120174","6.883477024","15.00","12.49","11.49","-","-","40.00","-","20.00",NA
"831","SNNP","Deri","May","2019","36.28577951","7.384839762","-","10.71","10.71","-","-","-","-","-",NA
"832","SNNP","Amaro Kele ","May","2019","6.083333333","38.03333333","17.57","-","17.84","17.69","-","-","-","-",NA
"833","SNNP","Soyama","May","2019","5.7","37.88333333","-","-","18.18","-","-","-","-","-",NA
"834","SNNP","Karate","May","2019","5.25","37.48333333","17.07","-","-","-","-","-","-","-",NA
"835","SNNP","Gidola","May","2019","37.34772952","5.647078098","19.55","15.77","16.55","-","23.98","-","-","-",NA
"836","SNNP","Tercha","May","2019","37.175334","7.146295","-","15.49","14.49","-","-","-","-","-",NA
"837","SNNP","Besite- chere ","May","2019",NA,NA,"-","16.00","-","-","-","-","-","-",NA
"838","SNNP","Lasoka","May","2019","36.60777815","6.30774507","9.81","-","11.32","-","18.87","-","-","15.16",NA
"839","SNNP","Amaya","May","2019","36.68000727","7.105541206","9.68","9.45","9.40","-","18.74","-","-","-",NA
"840","SNNP","Shewa- Bench ","November","2018",NA,NA,"16.00","13.00","15.00","-","-","45.00","35.00","30.86",NA
"841","SNNP","Mizan- Teferi ","November","2018","35.41120174","6.883477024","15.49","13.49","13.00","-","-","40.00","-","20.00",NA
"842","SNNP","Deri","November","2018","36.28577951","7.384839762","9.62","9.90","-","-","-","-","-","37.21",NA
"843","SNNP","Amaro Kele ","November","2018","6.083333333","38.03333333","16.79","-","19.35","-","21.39","-","-","-",NA
"844","SNNP","Soyama","November","2018","5.7","37.88333333","15.02","13.24","-","-","-","-","-","-",NA
"845","SNNP","Karate","November","2018","5.25","37.48333333","17.09","-","-","-","-","-","-","-",NA
"846","SNNP","Gidola","November","2018","37.34772952","5.647078098","16.99","16.11","18.18","-","-","-","-","-",NA
"847","SNNP","Tercha","November","2018","37.175334","7.146295","18.00","12.49","12.75","-","-","-","-","-",NA
"848","SNNP","Besite- chere ","November","2018",NA,NA,"20.00","16.00","16.00","-","-","-","-","-",NA
"849","SNNP","Lasoka","November","2018","36.60777815","6.30774507","14.96","-","16.04","-","35.97","-","-","-",NA
"850","SNNP","Amaya","November","2018","36.68000727","7.105541206","17.28","16.68","17.29","-","13.77","-","-","-",NA
"851","SNNP","Shewa- Bench ","October","2018",NA,NA,"16.00","13.00","14.00","-","-","40.00","32.40","26.35",NA
"852","SNNP","Mizan- Teferi ","October","2018","35.41120174","6.883477024","15.00","13.49","13.00","-","-","40.00","-","20.00",NA
"853","SNNP","Deri","October","2018","36.28577951","7.384839762","11.82","12.00","-","-","-","-","-","38.10",NA
"854","SNNP","Amaro Kele ","October","2018","6.083333333","38.03333333","16.11","-","19.48","-","20.00","-","-","-",NA
"855","SNNP","Soyama","October","2018","5.7","37.88333333","13.24","13.16","-","-","-","-","-","-",NA
"856","SNNP","Karate","October","2018","5.25","37.48333333","17.12","-","-","-","-","-","-","-",NA
"857","SNNP","Gidola","October","2018","37.34772952","5.647078098","18.18","16.90","16.77","-","19.16","-","-","-",NA
"858","SNNP","Tercha","October","2018","37.175334","7.146295","19.00","16.00","-","-","-","-","-","-",NA
"859","SNNP","Besite- chere ","October","2018",NA,NA,"20.00","16.00","-","-","-","-","-","-",NA
"860","SNNP","Lasoka","October","2018","36.60777815","6.30774507","16.00","15.69","-","-","27.45","-","-","24.25",NA
"861","SNNP","Amaya","October","2018","36.68000727","7.105541206","17.30","16.34","17.21","-","17.18","-","-","-",NA
"862","SNNP","Shewa- Bench ","September","2018",NA,NA,"14.49","10.00","13.00","-","-","30.98","-","23.84",NA
"863","SNNP","Mizan- Teferi ","September","2018","35.41120174","6.883477024","15.49","13.00","13.00","-","-","-","-","25.00",NA
"864","SNNP","Deri","September","2018","36.28577951","7.384839762","13.18","12.63","11.88","-","-","-","-","24.02",NA
"865","SNNP","Amaro Kele ","September","2018","6.083333333","38.03333333","16.56","-","19.87","-","19.78","-","-","-",NA
"866","SNNP","Soyama","September","2018","5.7","37.88333333","14.38","11.84","-","-","-","-","-","-",NA
"867","SNNP","Karate","September","2018","5.25","37.48333333","15.91","-","-","-","-","-","-","-",NA
"868","SNNP","Gidola","September","2018","37.34772952","5.647078098","16.47","14.54","17.52","-","17.10","-","-","-",NA
"869","SNNP","Tercha","September","2018","37.175334","7.146295","19.49","-","-","-","-","-","-","-",NA
"870","SNNP","Besite- chere ","September","2018",NA,NA,"20.00","17.00","-","-","-","-","-","-",NA
"871","SNNP","Lasoka","September","2018","36.60777815","6.30774507","15.69","16.00","-","-","25.42","-","-","15.63",NA
"872","SNNP","Amaya","September","2018","36.68000727","7.105541206","13.89","13.97","14.37","-","-","-","-","-",NA
"873","SOMALIE","Shinile","April","2019","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"874","SOMALIE","Erere","April","2019",NA,NA,"17.00","-","-","-","-","-","-","-",NA
"875","SOMALIE","Jigjiga","April","2019","42.792342","9.367259","20.00","21.21","-","-","-","-","-","55.00",NA
"876","SOMALIE","Kebribeya","April","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"877","SOMALIE","Dolo","April","2019","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"878","SOMALIE","Moyale","April","2019","3.527","39.056","-","-","-","-","-","-","-","-",NA
"879","BENISHANGUL-GUMUZ","Mambook","April","2019",NA,NA,"17.00","13.00","-","-","-","-","-","-",NA
"880","BENISHANGUL-GUMUZ","Mender- Sebat ","April","2019",NA,NA,"17.49","-","15.00","-","-","-","-","-",NA
"881","BENISHANGUL-GUMUZ","Asossa","April","2019","34.53730603","10.05784932","20.00","-","-","-","-","-","-","30.52",NA
"882","BENISHANGUL-GUMUZ","Bambasi","April","2019","34.73046863","9.751504664","20.72","-","-","-","-","-","-","-",NA
"883","BENISHANGUL-GUMUZ","Kemashi","April","2019","35.85916991","9.515450626","-","22.32","-","-","-","-","-","-",NA
"884","BENISHANGUL-GUMUZ","Agelo- meti ","April","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"885","BENISHANGUL-GUMUZ","AVERA","April","2019",NA,NA,"18.74","17.03","15.00","-","-","-","-","30.52",NA
"886","SOMALIE","Shinile","August","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"887","SOMALIE","Erere","August","2018",NA,NA,"18.00","-","-","-","-","-","-","-",NA
"888","SOMALIE","Jigjiga","August","2018","42.792342","9.367259","20.00","17.95","-","-","-","-","-","50.00",NA
"889","SOMALIE","Kebribeya","August","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"890","SOMALIE","Dolo","August","2018","42.059257","4.179211","-","20.00","-","-","-","-","-","-",NA
"891","SOMALIE","Moyale","August","2018","3.527","39.056","16.97","-","-","16.97","-","37.42","-","-",NA
"892","BENISHANGUL-GUMUZ","Mambook","August","2018",NA,NA,"16.00","13.00","13.00","-","-","-","-","26.23",NA
"893","BENISHANGUL-GUMUZ","Mender- Sebat ","August","2018",NA,NA,"16.00","-","14.00","-","-","-","-","-",NA
"894","BENISHANGUL-GUMUZ","Asossa","August","2018","34.53730603","10.05784932","18.00","-","-","-","-","-","-","30.91",NA
"895","BENISHANGUL-GUMUZ","Bambasi","August","2018","34.73046863","9.751504664","18.77","-","-","-","-","-","-","-",NA
"896","BENISHANGUL-GUMUZ","Kemashi","August","2018","35.85916991","9.515450626","-","13.21","-","-","-","-","-","-",NA
"897","BENISHANGUL-GUMUZ","Agelo- meti ","August","2018","35.77048443","9.640776618","18.22","17.80","-","-","-","-","-","-",NA
"898","BENISHANGUL-GUMUZ","AVERA","August","2018",NA,NA,"17.36","14.51","13.49","-","-","-","-","28.47",NA
"899","SOMALIE","Shinile","December","2018","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"900","SOMALIE","Erere","December","2018",NA,NA,"20.00","-","-","-","-","-","-","-",NA
"901","SOMALIE","Jigjiga","December","2018","42.792342","9.367259","18.97","17.42","-","-","-","-","-","53.99",NA
"902","SOMALIE","Kebribeya","December","2018",NA,NA,"-","-","-","-","-","-","-","-",NA
"903","SOMALIE","Dolo","December","2018","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"904","SOMALIE","Moyale","December","2018","3.527","39.056","-","-","-","-","-","-","-","-",NA
"905","BENISHANGUL-GUMUZ","Mambook","December","2018",NA,NA,"-","13.00","-","-","-","-","-","-",NA
"906","BENISHANGUL-GUMUZ","Mender- Sebat ","December","2018",NA,NA,"16.00","13.00","-","-","-","-","-","-",NA
"907","BENISHANGUL-GUMUZ","Asossa","December","2018","34.53730603","10.05784932","20.00","14.49","-","-","-","-","-","28.31",NA
"908","BENISHANGUL-GUMUZ","Bambasi","December","2018","34.73046863","9.751504664","19.90","-","-","-","-","-","-","-",NA
"909","BENISHANGUL-GUMUZ","Kemashi","December","2018","35.85916991","9.515450626","-","-","-","-","-","-","-","-",NA
"910","BENISHANGUL-GUMUZ","Agelo- meti ","December","2018","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"911","BENISHANGUL-GUMUZ","AVERA","December","2018",NA,NA,"18.54","13.48","-","-","-","-","-","28.31",NA
"912","SOMALIE","Shinile","February","2019","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"913","SOMALIE","Erere","February","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"914","SOMALIE","Jigjiga","February","2019","42.792342","9.367259","20.00","-","-","-","-","-","-","52.44",NA
"915","SOMALIE","Kebribeya","February","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"916","SOMALIE","Dolo","February","2019","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"917","SOMALIE","Moyale","February","2019","3.527","39.056","-","-","-","-","-","-","-","-",NA
"918","BENISHANGUL-GUMUZ","Mambook","February","2019",NA,NA,"16.00","13.00","-","-","-","-","-","34.97",NA
"919","BENISHANGUL-GUMUZ","Mender- Sebat ","February","2019",NA,NA,"17.00","-","14.49","-","-","-","-","-",NA
"920","BENISHANGUL-GUMUZ","Asossa","February","2019","34.53730603","10.05784932","20.00","-","-","-","-","-","-","45.04",NA
"921","BENISHANGUL-GUMUZ","Bambasi","February","2019","34.73046863","9.751504664","20.62","21.05","-","-","-","-","-","-",NA
"922","BENISHANGUL-GUMUZ","Kemashi","February","2019","35.85916991","9.515450626","-","-","-","-","-","-","-","-",NA
"923","BENISHANGUL-GUMUZ","Agelo- meti ","February","2019","35.77048443","9.640776618","-","-","-","-","-","-","-","-",NA
"924","BENISHANGUL-GUMUZ","AVERA","February","2019",NA,NA,"18.30","16.54","14.49","-","-","-","-","39.69",NA
"925","SOMALIE","Shinile","January","2019","41.844013","9.686515","-","-","-","-","-","-","-","-",NA
"926","SOMALIE","Erere","January","2019",NA,NA,"20.00","-","-","-","-","-","-","-",NA
"927","SOMALIE","Jigjiga","January","2019","42.792342","9.367259","18.00","18.80","-","-","-","-","-","57.45",NA
"928","SOMALIE","Kebribeya","January","2019",NA,NA,"-","-","-","-","-","-","-","-",NA
"929","SOMALIE","Dolo","January","2019","42.059257","4.179211","-","25.00","-","-","-","-","-","-",NA
"930","SOMALIE","Moyale","January","2019","3.527","39.056","-","-","-","-","-","-","-","-",NA
"931","BENISHANGUL-GUMUZ","Mambook","January","2019",NA,NA,"17.00","13.49","-","-","-","-","-","-",NA
