"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley","01.1.1.2 UNMILLED CEREALS/GRAINS_Hulled Barley (Temez)"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA",NA
"574","SNNP","Hosahna","January","2019","37.84747123","7.538579317","17.00","16.00","16.50","-","-","-","-","14.29",NA
"575","SNNP","Shone","January","2019","37.94869425","7.134857075","15.00","-","14.25","-","-","-","-","28.57",NA
"576","SNNP","Doyugena","January","2019","37.78333","7.33333","13.00","12.50","13.00","13.00","-","-","-","18.22",NA
"577","SNNP","Alaba","January","2019","38.086143","7.311546","17.00","-","16.00","-","-","-","-","15.94",NA
"578","SNNP","Awasa","January","2019","38.474819","7.058624","20.00","-","20.00","20.00","-","-","-","35.09",NA
"579","SNNP","Hagere- Selam ","January","2019","38.51921184","6.513880636","10.35","-","-","-","-","-","-","12.50",NA
"580","SNNP","Dilla","January","2019","38.30745962","6.410516676","17.00","-","15.49","16.00","-","-","-","-",NA
"581","SNNP","Yirega-¦ chefie ","January","2019","38.1988827","6.16095383","17.00","-","-","14.49","-","-","-","-",NA
"582","SNNP","Welikite","July","2018","37.77266735","8.27732366","17.05","-","17.50","-","-","-","-","32.16",NA
"583","SNNP","Butajira","July","2018","38.42140499","8.173264069","12.71","16.40","16.60","15.33","-","-","-","19.38",NA
"584","SNNP","Hosahna","July","2018","37.84747123","7.538579317","17.37","15.00","17.00","-","-","-","-","14.29",NA
"585","SNNP","Shone","July","2018","37.94869425","7.134857075","17.00","-","15.00","-","-","-","-","29.89",NA
"586","SNNP","Doyugena","July","2018","37.78333","7.33333","14.00","13.00","14.00","13.00","24.46","-","-","18.06",NA
"587","SNNP","Alaba","July","2018","38.086143","7.311546","16.00","-","15.00","-","-","-","-","16.84",NA
"588","SNNP","Awasa","July","2018","38.474819","7.058624","17.49","-","16.49","19.49","-","-","-","-",NA
"589","SNNP","Hagere- Selam ","July","2018","38.51921184","6.513880636","13.09","-","-","-","-","-","-","16.67",NA
"590","SNNP","Dilla","July","2018","38.30745962","6.410516676","16.00","-","-","15.00","-","-","-","-",NA
"591","SNNP","Yirega-¦ chefie ","July","2018","38.1988827","6.16095383","17.00","-","-","-","-","-","-","-",NA
"592","SNNP","Welikite","March","2019","37.77266735","8.27732366","15.00","-","16.20","-","-","-","-","33.68",NA
"593","SNNP","Butajira","March","2019","38.42140499","8.173264069","13.84","11.65","13.14","14.69","-","-","-","21.05",NA
"594","SNNP","Hosahna","March","2019","37.84747123","7.538579317","18.00","16.00","18.00","-","-","-","-","14.29",NA
"595","SNNP","Shone","March","2019","37.94869425","7.134857075","17.00","-","15.00","-","-","-","-","31.46",NA
"596","SNNP","Doyugena","March","2019","37.78333","7.33333","14.00","13.00","14.00","14.00","-","-","-","15.91",NA
"597","SNNP","Alaba","March","2019","38.086143","7.311546","17.00","-","16.00","-","-","-","-","15.63",NA
"598","SNNP","Awasa","March","2019","38.474819","7.058624","20.00","-","18.00","20.00","-","-","-","34.96",NA
"599","SNNP","Hagere- Selam ","March","2019","38.51921184","6.513880636","10.26","-","-","-","-","-","-","12.50",NA
"600","SNNP","Dilla","March","2019","38.30745962","6.410516676","16.49","-","-","15.00","-","-","-","-",NA
"601","SNNP","Yirega-¦ chefie ","March","2019","38.1988827","6.16095383","17.00","-","-","15.00","-","-","-","17.00",NA
"602","SNNP","Welikite","May","2019","37.77266735","8.27732366","15.00","-","16.00","-","-","-","-","35.09",NA
"603","SNNP","Butajira","May","2019","38.42140499","8.173264069","16.83","14.81","16.09","16.46","-","-","-","21.79",NA
"604","SNNP","Hosahna","May","2019","37.84747123","7.538579317","17.00","15.00","16.00","-","-","-","-","14.18",NA
"605","SNNP","Shone","May","2019","37.94869425","7.134857075","17.00","-","15.00","-","-","-","-","32.19",NA
"606","SNNP","Doyugena","May","2019","37.78333","7.33333","14.50","13.00","14.50","14.00","-","-","-","16.01",NA
"607","SNNP","Alaba","May","2019","38.086143","7.311546","16.00","-","15.00","-","-","-","-","13.26",NA
"608","SNNP","Awasa","May","2019","38.474819","7.058624","-","-","17.00","20.00","-","-","-","-",NA
"609","SNNP","Hagere- Selam ","May","2019","38.51921184","6.513880636","11.97","-","-","-","-","-","-","16.67",NA
"610","SNNP","Dilla","May","2019","38.30745962","6.410516676","17.00","-","-","15.00","-","-","-","-",NA
"611","SNNP","Yirega-¦ chefie ","May","2019","38.1988827","6.16095383","17.00","-","-","-","-","-","-","-",NA
"612","SNNP","Welikite","November","2018","37.77266735","8.27732366","16.25","-","17.55","-","-","-","-","32.47",NA
"613","SNNP","Butajira","November","2018","38.42140499","8.173264069","10.81","15.42","17.97","16.34","-","-","-","21.28",NA
"614","SNNP","Hosahna","November","2018","37.84747123","7.538579317","17.00","16.00","17.00","-","-","-","-","14.23",NA
"615","SNNP","Shone","November","2018","37.94869425","7.134857075","17.00","-","15.00","-","-","-","-","29.22",NA
"616","SNNP","Doyugena","November","2018","37.78333","7.33333","15.00","14.55","15.00","15.00","-","-","-","17.98",NA
"617","SNNP","Alaba","November","2018","38.086143","7.311546","15.00","-","15.00","-","-","-","-","22.51",NA
"618","SNNP","Awasa","November","2018","38.474819","7.058624","18.49","-","17.49","18.00","-","-","-","34.61",NA
"619","SNNP","Hagere- Selam ","November","2018","38.51921184","6.513880636","14.29","-","-","-","-","-","-","16.67",NA
"620","SNNP","Dilla","November","2018","38.30745962","6.410516676","17.49","-","-","15.00","-","-","-","-",NA
"621","SNNP","Yirega-¦ chefie ","November","2018","38.1988827","6.16095383","16.49","-","-","15.00","-","-","-","17.00",NA
"622","SNNP","Welikite","October","2018","37.77266735","8.27732366","16.55","-","17.00","-","-","-","-","30.39",NA
"623","SNNP","Butajira","October","2018","38.42140499","8.173264069","15.93","16.58","17.93","15.46","-","-","-","20.84",NA
"624","SNNP","Hosahna","October","2018","37.84747123","7.538579317","18.00","16.00","17.50","-","-","-","-","14.29",NA
"625","SNNP","Shone","October","2018","37.94869425","7.134857075","17.00","-","16.00","-","-","-","-","28.57",NA
"626","SNNP","Doyugena","October","2018","37.78333","7.33333","14.54","13.50","14.50","14.50","-","-","-","18.16",NA
"627","SNNP","Alaba","October","2018","38.086143","7.311546","17.00","-","16.00","-","-","-","-","24.69",NA
"628","SNNP","Awasa","October","2018","38.474819","7.058624","18.00","-","18.00","18.00","-","-","-","35.46",NA
"629","SNNP","Hagere- Selam ","October","2018","38.51921184","6.513880636","13.92","-","-","-","-","-","-","16.67",NA
"630","SNNP","Dilla","October","2018","38.30745962","6.410516676","17.00","-","-","15.00","-","-","-","-",NA
"631","SNNP","Yirega-¦ chefie ","October","2018","38.1988827","6.16095383","15.97","-","-","15.00","-","-","-","16.00",NA
"632","SNNP","Welikite","September","2018","37.77266735","8.27732366","17.00","-","17.60","-","-","-","-","34.78",NA
"633","SNNP","Butajira","September","2018","38.42140499","8.173264069","16.06","15.96","18.42","15.88","-","-","-","17.17",NA
"634","SNNP","Hosahna","September","2018","37.84747123","7.538579317","17.75","16.00","17.00","-","-","-","-","14.29",NA
"635","SNNP","Shone","September","2018","37.94869425","7.134857075","17.00","-","16.00","-","-","-","-","29.22",NA
"636","SNNP","Doyugena","September","2018","37.78333","7.33333","14.50","13.50","14.50","14.00","-","-","-","17.62",NA
"637","SNNP","Alaba","September","2018","38.086143","7.311546","17.00","-","16.00","-","-","-","-","21.61",NA
"638","SNNP","Awasa","September","2018","38.474819","7.058624","18.00","-","17.49","18.00","-","-","-","34.48",NA
"639","SNNP","Hagere- Selam ","September","2018","38.51921184","6.513880636","13.68","-","-","-","-","-","-","16.67",NA
"640","SNNP","Dilla","September","2018","38.30745962","6.410516676","15.00","-","-","14.49","-","-","-","-",NA
"641","SNNP","Yirega-¦ chefie ","September","2018","38.1988827","6.16095383","15.00","-","-","14.00","-","-","-","15.00",NA
"642","SNNP","Welayita","April","2019",NA,NA,"18.00","15.00","15.00","-","-","-","-","34.15",NA
"643","SNNP","Bodite","April","2019","37.89064905","7.038034865","18.00","17.00","18.00","-","-","-","-","22.29",NA
"644","SNNP","Jinka","April","2019","36.56441614","5.78310286","11.93","11.90","17.92","-","21.07","-","-","27.37",NA
"645","SNNP","Dimeka","April","2019","36.45041198","4.892522922","18.18","-","-","-","-","-","-","-",NA
"646","SNNP","Masha","April","2019","35.47956686","7.741652627","14.24","14.40","13.34","-","-","-","-","32.79",NA
"647","SNNP","Tepi","April","2019","35.36770327","7.320015599","15.00","14.00","-","-","-","40.00","-","30.31",NA
"648","SNNP","Boniga","April","2019","36.24008346","7.388535704","16.00","13.75","15.00","-","-","-","-","24.40",NA
"649","SNNP","Chana","April","2019","36.11775846","6.226550231","16.00","10.00","10.00","-","-","-","-","19.28",NA
"650","SNNP","Arbam- minch ","April","2019","37.5527474","6.024547891","17.49","-","17.49","-","-","-","-","18.52",NA
"651","SNNP","Sawla","April","2019","36.87437474","6.300226567","11.29","-","11.81","-","19.65","-","-","-",NA
"652","SNNP","Welayita","August","2018",NA,NA,"18.97","15.00","18.00","-","20.49","-","-","29.28",NA
"653","SNNP","Bodite","August","2018","37.89064905","7.038034865","18.00","16.49","17.00","20.00","-","-","-","18.15",NA
"654","SNNP","Jinka","August","2018","36.56441614","5.78310286","18.09","18.05","18.20","-","27.17","-","-","27.99",NA
"655","SNNP","Dimeka","August","2018","36.45041198","4.892522922","18.35","-","-","-","-","-","-","-",NA
"656","SNNP","Masha","August","2018","35.47956686","7.741652627","21.32","20.33","21.08","-","-","-","-","-",NA
"657","SNNP","Tepi","August","2018","35.36770327","7.320015599","16.00","14.00","15.00","-","-","35.00","40.00","32.79",NA
"658","SNNP","Boniga","August","2018","36.24008346","7.388535704","16.00","13.00","15.00","-","-","-","-","24.29",NA
"659","SNNP","Chana","August","2018","36.11775846","6.226550231","16.00","10.00","10.00","-","-","-","-","22.23",NA
"660","SNNP","Arbam- minch ","August","2018","37.5527474","6.024547891","-","-","-","-","-","-","-","18.52",NA
"661","SNNP","Sawla","August","2018","36.87437474","6.300226567","16.00","-","17.05","-","19.32","-","-","-",NA
"662","SNNP","Welayita","December","2018",NA,NA,"18.00","14.49","15.00","-","-","-","-","33.33",NA
"663","SNNP","Bodite","December","2018","37.89064905","7.038034865","18.97","18.00","19.49","-","-","-","-","20.06",NA
"664","SNNP","Jinka","December","2018","36.56441614","5.78310286","18.09","18.01","24.01","-","-","-","-","37.60",NA
"665","SNNP","Dimeka","December","2018","36.45041198","4.892522922","-","-","-","-","-","-","-","-",NA
"666","SNNP","Masha","December","2018","35.47956686","7.741652627","19.07","17.98","17.98","-","-","-","-","43.64",NA
"667","SNNP","Tepi","December","2018","35.36770327","7.320015599","16.00","13.49","-","-","-","35.00","40.00","26.02",NA
"668","SNNP","Boniga","December","2018","36.24008346","7.388535704","16.00","13.00","14.00","-","-","40.00","-","21.14",NA
"669","SNNP","Chana","December","2018","36.11775846","6.226550231","17.00","14.00","14.00","-","-","-","-","16.47",NA
"670","SNNP","Arbam- minch ","December","2018","37.5527474","6.024547891","17.49","-","17.49","-","-","-","-","19.75",NA
"671","SNNP","Sawla","December","2018","36.87437474","6.300226567","19.07","17.23","17.98","-","20.56","-","-","-",NA
"672","SNNP","Welayita","February","2019",NA,NA,"18.00","-","17.00","-","-","-","-","33.33",NA
"673","SNNP","Bodite","February","2019","37.89064905","7.038034865","18.00","15.49","17.49","-","-","-","-","22.16",NA
"674","SNNP","Jinka","February","2019","36.56441614","5.78310286","12.05","12.00","12.09","-","-","-","-","28.55",NA
"675","SNNP","Dimeka","February","2019","36.45041198","4.892522922","18.35","-","-","-","-","-","-","-",NA
"676","SNNP","Masha","February","2019","35.47956686","7.741652627","16.54","17.82","17.58","-","-","-","-","-",NA
"677","SNNP","Tepi","February","2019","35.36770327","7.320015599","15.00","14.00","-","-","-","35.00","-","27.60",NA
"678","SNNP","Boniga","February","2019","36.24008346","7.388535704","14.00","12.00","13.00","-","-","-","-","24.00",NA
"679","SNNP","Chana","February","2019","36.11775846","6.226550231","17.00","12.00","12.00","-","-","-","-","15.73",NA
"680","SNNP","Arbam- minch ","February","2019","37.5527474","6.024547891","17.00","-","17.49","-","-","-","-","19.75",NA
