"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw","pkg.wht.allwh"
"582","Snnp","Dilla","December",2013,38.30745962,6.410516676,9.83,NA,9.28,NA,NA,3.39,NA,9.83
"583","Snnp","Yirega-¦ Chefie ","December",2013,38.1988827,6.16095383,9,8,NA,NA,NA,4.21,11,9
"584","Snnp","Welikite","February",2014,37.77266735,8.27732366,7.4,NA,NA,NA,NA,3.63,16.5,7.4
"585","Snnp","Butajira","February",2014,38.42140499,8.173264069,8.48,NA,10.72,11,NA,4.38,10.46,8.48
"586","Snnp","Hosahna","February",2014,37.84747123,7.538579317,8,NA,NA,NA,NA,4.38,18.01,8
"587","Snnp","Shone","February",2014,37.94869425,7.134857075,7.27,NA,NA,NA,NA,7.09,8.45,7.27
"588","Snnp","Doyugena","February",2014,37.78333,7.33333,7.2,NA,NA,NA,NA,3.63,23.7,7.2
"589","Snnp","Alaba","February",2014,38.086143,7.311546,8,NA,NA,9,NA,5.54,12.02,8
"590","Snnp","Awasa","February",2014,38.474819,7.058624,10,NA,9.65,NA,NA,5.25,22.41,10
"591","Snnp","Hagere- Selam ","February",2014,38.51921184,6.513880636,5.75,NA,NA,NA,NA,3.28,13.76,5.75
"592","Snnp","Dilla","February",2014,38.30745962,6.410516676,9,NA,8.47,NA,NA,3.39,NA,9
"593","Snnp","Yirega-¦ Chefie ","February",2014,38.1988827,6.16095383,9,NA,NA,NA,NA,4.21,10,9
"594","Snnp","Welikite","January",2014,37.77266735,8.27732366,7.93,NA,NA,NA,NA,3.76,16.87,7.93
"595","Snnp","Butajira","January",2014,38.42140499,8.173264069,8.23,NA,12.74,11,NA,4.38,9.62,8.23
"596","Snnp","Hosahna","January",2014,37.84747123,7.538579317,7,NA,NA,NA,NA,4.38,12.25,7
"597","Snnp","Shone","January",2014,37.94869425,7.134857075,7,NA,NA,NA,NA,5.97,9.38,7
"598","Snnp","Doyugena","January",2014,37.78333,7.33333,7,NA,NA,NA,NA,3.5,23.08,7
"599","Snnp","Alaba","January",2014,38.086143,7.311546,7.83,NA,NA,9,NA,5.26,16.67,7.83
