"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Wheat White","CEREALS UNMILLED_Wheat Mixed","CEREALS UNMILLED_Wheat Black (Red)","CEREALS MILLED_Wheat White","CEREALS MILLED_Wheat Mixed","BREAD AND OTHER PREPARED FOODS_Bread Wheat (Bakery)","P R I C E   I N    B I R R_Malt-Wheat"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","BREAD AND OTHER PREPARED FOODS","P R I C E   I N    B I R R"
"356","OROMIYA","Bedele","JANUARY","2015","36.36017384","8.454821965","13.00","10.00","11.49","-","-","3.50","-"
"357","OROMIYA","Metu","JANUARY","2015","35.58726864","8.300606827","11.00","-","10.00","-","-","3.97","-"
"358","OROMIYA","Jimma","JANUARY","2015","36.84385226","7.672338798","12.00","-","11.00","-","-","3.33","-"
"359","OROMIYA","Agaro","JANUARY","2015","36.58627683","7.848002731","11.18","-","-","-","-","4.29","10.65"
"360","OROMIYA","Ambo","JANUARY","2015","37.8446066","8.976806527","9.32","-","12.23","-","-","4.00","17.83"
"361","OROMIYA","Weliso","JANUARY","2015","37.97073066","8.534178897","9.43","-","-","-","-","3.50","13.86"
"362","OROMIYA","Ejere","JANUARY","2015","39.262249","8.78288","7.90","-","13.24","-","-","4.67","-"
"363","OROMIYA","Fiche","JANUARY","2015","38.73344116","9.791083661","9.44","-","12.15","-","-","5.06","18.69"
"364","OROMIYA","Ghimbi","JULY","2014","35.83291974","9.163103789","11.00","10.00","-","-","-","5.83","-"
"365","OROMIYA","Dembi- dolo ","JULY","2014","34.79748694","8.530219501","10.00","8.00","-","-","-","3.18","-"
"366","OROMIYA","Shambu","JULY","2014","37.09431432","9.569809208","8.04","8.12","8.16","-","-","4.62","-"
"367","OROMIYA","Nekemte","JULY","2014","36.54851971","9.09042469","9.83","9.00","8.49","-","-","3.93","-"
"368","OROMIYA","Bedele","JULY","2014","36.36017384","8.454821965","12.00","10.00","-","-","-","3.50","-"
"369","OROMIYA","Metu","JULY","2014","35.58726864","8.300606827","10.00","-","9.00","-","-","3.82","-"
"370","OROMIYA","Jimma","JULY","2014","36.84385226","7.672338798","-","-","10.49","-","-","3.33","-"
"371","OROMIYA","Agaro","JULY","2014","36.58627683","7.848002731","11.18","-","-","-","-","4.38","10.19"
"372","OROMIYA","Ambo","JULY","2014","37.8446066","8.976806527","9.00","-","10.80","-","-","4.94","19.37"
"373","OROMIYA","Weliso","JULY","2014","37.97073066","8.534178897","10.75","-","-","-","-","4.38","16.17"
"374","OROMIYA","Ejere","JULY","2014","39.262249","8.78288","10.75","-","18.08","-","-","4.67","18.01"
"375","OROMIYA","Fiche","JULY","2014","38.73344116","9.791083661","10.74","-","11.15","-","-","6.06","16.03"
"376","OROMIYA","Ghimbi","JUNE","2015","35.83291974","9.163103789","11.32","10.00","-","-","-","5.00","-"
"377","OROMIYA","Dembi- dolo ","JUNE","2015","34.79748694","8.530219501","11.00","9.00","-","-","-","3.82","-"
"378","OROMIYA","Shambu","JUNE","2015","37.09431432","9.569809208","8.06","8.06","8.03","-","-","5.34","-"
"379","OROMIYA","Nekemte","JUNE","2015","36.54851971","9.09042469","10.00","9.00","7.00","-","-","4.81","-"
"380","OROMIYA","Bedele","JUNE","2015","36.36017384","8.454821965","15.00","10.91","10.72","-","-","3.50","-"
"381","OROMIYA","Metu","JUNE","2015","35.58726864","8.300606827","12.00","-","10.00","-","-","3.82","-"
"382","OROMIYA","Jimma","JUNE","2015","36.84385226","7.672338798","11.66","-","9.49","-","-","3.37","-"
"383","OROMIYA","Agaro","JUNE","2015","36.58627683","7.848002731","11.47","-","-","-","-","4.38","10.86"
"384","OROMIYA","Ambo","JUNE","2015","37.8446066","8.976806527","11.04","-","10.80","-","-","4.07","16.53"
"385","OROMIYA","Weliso","JUNE","2015","37.97073066","8.534178897","9.98","-","-","-","-","3.76","16.44"
"386","OROMIYA","Ejere","JUNE","2015","39.262249","8.78288","10.38","-","17.50","-","-","4.67","25.54"
"387","OROMIYA","Fiche","JUNE","2015","38.73344116","9.791083661","9.57","-","11.17","-","-","4.55","16.74"
"388","OROMIYA","Ghimbi","MARCH","2015","35.83291974","9.163103789","11.00","10.00","-","-","-","4.92","-"
"389","OROMIYA","Dembi- dolo ","MARCH","2015","34.79748694","8.530219501","12.00","9.00","-","-","-","3.50","-"
"390","OROMIYA","Shambu","MARCH","2015","37.09431432","9.569809208","8.05","8.06","8.08","-","-","4.45","-"
"391","OROMIYA","Nekemte","MARCH","2015","36.54851971","9.09042469","10.00","9.00","8.83","-","-","4.82","-"
"392","OROMIYA","Bedele","MARCH","2015","36.36017384","8.454821965","13.00","8.00","-","-","-","3.50","-"
"393","OROMIYA","Metu","MARCH","2015","35.58726864","8.300606827","11.00","-","10.00","-","-","3.97","-"
"394","OROMIYA","Jimma","MARCH","2015","36.84385226","7.672338798","12.00","-","10.00","-","-","3.28","-"
"395","OROMIYA","Agaro","MARCH","2015","36.58627683","7.848002731","11.56","-","-","-","-","4.38","10.45"
"396","OROMIYA","Ambo","MARCH","2015","37.8446066","8.976806527","9.01","-","12.57","-","-","4.19","15.29"
"397","OROMIYA","Weliso","MARCH","2015","37.97073066","8.534178897","9.54","-","-","-","-","3.63","15.69"
"398","OROMIYA","Ejere","MARCH","2015","39.262249","8.78288","8.06","-","14.55","-","-","4.67","23.08"
"399","OROMIYA","Fiche","MARCH","2015","38.73344116","9.791083661","8.61","-","10.14","-","-","4.55","15.78"
"400","OROMIYA","Ghimbi","MAY","2015","35.83291974","9.163103789","11.00","10.00","-","-","-","5.00","-"
"401","OROMIYA","Dembi- dolo ","MAY","2015","34.79748694","8.530219501","10.00","8.00","-","-","-","3.70","-"
"402","OROMIYA","Shambu","MAY","2015","37.09431432","9.569809208","8.15","7.96","8.05","-","-","4.75","-"
"403","OROMIYA","Nekemte","MAY","2015","36.54851971","9.09042469","9.83","9.00","9.00","-","-","4.94","-"
"404","OROMIYA","Bedele","MAY","2015","36.36017384","8.454821965","15.00","10.91","10.72","-","-","3.50","-"
"405","OROMIYA","Metu","MAY","2015","35.58726864","8.300606827","12.00","-","10.00","-","-","3.82","-"
"406","OROMIYA","Jimma","MAY","2015","36.84385226","7.672338798","12.00","-","11.00","-","-","3.33","-"
"407","OROMIYA","Agaro","MAY","2015","36.58627683","7.848002731","11.76","-","-","-","-","4.38","10.52"
