"","Region","Market","Month","Year","Longitude","Latitude","pkg.wht.white","pkg.wht.mixed","pkg.wht.blred","pkg.wht.millw","pkg.wht.millm","pkg.wht.bread","pkg.wht.maltw"
"207","Amhara","Debre- Markos ","May",2015,37.72636868,10.33641293,8.41,NA,11.63,NA,NA,4.23,20.95
"208","Amhara","Dembecha","May",2015,37.48251554,10.56669266,8.89,NA,NA,NA,NA,4.43,NA
"209","Amhara","Bahir- Dar ","May",2015,37.3815488,11.58416449,12,NA,11,NA,NA,3.97,15.98
"210","Amhara","Sekota","May",2015,39.03355257,12.62479803,9.04,NA,NA,NA,NA,4.14,NA
"211","Amhara","Amde Work ","May",2015,38.85815043,12.45920199,9.35,NA,NA,NA,NA,2.92,NA
"212","Amhara","Danigla","May",2015,36.83153176,11.25223153,11.77,NA,NA,NA,NA,4.2,23.11
"213","Amhara","Chagni","May",2015,36.50793596,10.95196565,9.65,NA,NA,NA,NA,5.05,18.77
"214","Amhara","Kemise","May",2015,39.85696873,10.71374234,11.15,11.24,12.45,NA,NA,4.05,23.21
"215","Amhara","Bati","May",2015,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.56,NA
"216","Amhara","Mota","November",2014,37.8807432,11.07475582,8.51,NA,NA,NA,NA,2.76,17.72
"217","Amhara","Debre- Markos ","November",2014,37.72636868,10.33641293,9.83,NA,12.86,NA,NA,4.79,21.14
"218","Amhara","Dembecha","November",2014,37.48251554,10.56669266,9.4,NA,NA,NA,NA,4.35,NA
"219","Amhara","Bahir- Dar ","November",2014,37.3815488,11.58416449,12.66,NA,12,NA,NA,3.97,16.33
"220","Amhara","Sekota","November",2014,39.03355257,12.62479803,9.07,NA,NA,NA,NA,4.14,NA
"221","Amhara","Amde Work ","November",2014,38.85815043,12.45920199,10.09,NA,NA,NA,NA,3.89,NA
"222","Amhara","Danigla","November",2014,36.83153176,11.25223153,11.43,NA,NA,NA,NA,3.63,20.07
"223","Amhara","Chagni","November",2014,36.50793596,10.95196565,9.49,NA,NA,NA,NA,NA,18.77
"224","Amhara","Kemise","November",2014,39.85696873,10.71374234,11.4,11.11,12.35,NA,NA,4.21,20.28
"225","Amhara","Bati","November",2014,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.31,NA
"226","Amhara","Mota","October",2014,37.8807432,11.07475582,9.59,NA,NA,NA,NA,3.19,NA
"227","Amhara","Debre- Markos ","October",2014,37.72636868,10.33641293,10.09,NA,12.5,NA,NA,5.02,20.04
"228","Amhara","Dembecha","October",2014,37.48251554,10.56669266,10.31,NA,NA,NA,NA,4.2,NA
"229","Amhara","Bahir- Dar ","October",2014,37.3815488,11.58416449,12.32,NA,10.66,NA,NA,3.97,16.33
"230","Amhara","Sekota","October",2014,39.03355257,12.62479803,9.23,NA,NA,NA,NA,4.14,NA
"231","Amhara","Amde Work ","October",2014,38.85815043,12.45920199,10.66,NA,NA,NA,NA,3.89,NA
"232","Amhara","Danigla","October",2014,36.83153176,11.25223153,11.43,NA,NA,NA,NA,3.63,20.71
"233","Amhara","Chagni","October",2014,36.50793596,10.95196565,9,NA,NA,NA,NA,4.51,19.37
"234","Amhara","Kemise","October",2014,39.85696873,10.71374234,10.87,NA,11.01,NA,NA,4.21,21.14
"235","Amhara","Bati","October",2014,40.0181327,11.19153266,NA,NA,NA,NA,NA,6.56,NA
"236","Amhara","Mota","October.doc",NA,37.8807432,11.07475582,8.7,NA,NA,NA,NA,3.63,NA
