"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"262","GAMBELLA","Gambella","JUNE","2014","34.58547076","8.249396585","6.00","7.00"
"263","GAMBELLA","Shebo- kire ","JUNE","2014",NA,NA,"5.05","-"
"264","GAMBELLA","Meti","JUNE","2014","7.233333333","35.31666667","6.00","-"
"265","DIREDAWA","Dire Dawa ","JUNE","2014","41.8572763","9.593652332","7.06","8.00"
"266","DIREDAWA","Melka- Jebdu ","JUNE","2014","41.77420401","9.617496554","7.32","-"
"267","GAMBELLA","Gambella","MAY","2014","34.58547076","8.249396585","6.00","7.00"
"268","GAMBELLA","Shebo- kire ","MAY","2014",NA,NA,"5.03","-"
"269","GAMBELLA","Meti","MAY","2014","7.233333333","35.31666667","5.00","6.50"
"270","DIREDAWA","Dire Dawa ","MAY","2014","41.8572763","9.593652332","7.07","8.00"
"271","DIREDAWA","Melka- Jebdu ","MAY","2014","41.77420401","9.617496554","8.00","-"
"272","GAMBELLA","Gambella","NOVEMBER","2013","34.58547076","8.249396585","8.00","9.00"
"273","GAMBELLA","Shebo- kire ","NOVEMBER","2013",NA,NA,"5.51","-"
"274","GAMBELLA","Meti","NOVEMBER","2013","7.233333333","35.31666667","5.00","-"
"275","DIREDAWA","Dire Dawa ","NOVEMBER","2013","41.8572763","9.593652332","8.48","10.00"
"276","DIREDAWA","Melka- Jebdu ","NOVEMBER","2013","41.77420401","9.617496554","8.65","-"
"277","GAMBELLA","Gambella","OCTOBER","2013","34.58547076","8.249396585","7.00","7.83"
"278","GAMBELLA","Shebo- kire ","OCTOBER","2013",NA,NA,"5.07","-"
"279","GAMBELLA","Meti","OCTOBER","2013","7.233333333","35.31666667","5.33","-"
"280","DIREDAWA","Dire Dawa ","OCTOBER","2013","41.8572763","9.593652332","8.77","8.00"
"281","DIREDAWA","Melka- Jebdu ","OCTOBER","2013","41.77420401","9.617496554","8.00","-"
"282","GAMBELLA","Gambella","SEPTEMBER(1)","2013(1)","34.58547076","8.249396585","7.00","8.00"
"283","GAMBELLA","Shebo- kire ","SEPTEMBER(1)","2013(1)",NA,NA,"5.23","-"
"284","GAMBELLA","Meti","SEPTEMBER(1)","2013(1)","7.233333333","35.31666667","5.16","-"
"285","DIREDAWA","Dire Dawa ","SEPTEMBER(1)","2013(1)","41.8572763","9.593652332","7.58","8.12"
"286","DIREDAWA","Melka- Jebdu ","SEPTEMBER(1)","2013(1)","41.77420401","9.617496554","7.00","8.00"
"287","OROMIYA","Ghimbi","APRIL","2014","35.83291974","9.163103789","5.00","-"
"288","OROMIYA","Dembi- dolo ","APRIL","2014","34.79748694","8.530219501","4.00","-"
"289","OROMIYA","Shambu","APRIL","2014","37.09431432","9.569809208","4.92","-"
"290","OROMIYA","Nekemte","APRIL","2014","36.54851971","9.09042469","5.01","7.53"
"291","OROMIYA","Bedele","APRIL","2014","36.36017384","8.454821965","4.87","6.05"
"292","OROMIYA","Metu","APRIL","2014","35.58726864","8.300606827","5.00","7.00"
"293","OROMIYA","Jimma","APRIL","2014","36.84385226","7.672338798","6.00","8.46"
"294","OROMIYA","Agaro","APRIL","2014","36.58627683","7.848002731","5.88","10.00"
"295","OROMIYA","Ambo","APRIL","2014","37.8446066","8.976806527","5.93","-"
"296","OROMIYA","Weliso","APRIL","2014","37.97073066","8.534178897","5.83","6.72"
"297","OROMIYA","Ejere","APRIL","2014","39.262249","8.78288","6.14","-"
"298","OROMIYA","Fiche","APRIL","2014","38.73344116","9.791083661","6.46","-"
"299","OROMIYA","Ghimbi","AUGUST","2013","35.83291974","9.163103789","5.66","-"
"300","OROMIYA","Dembi- dolo ","AUGUST","2013","34.79748694","8.530219501","4.50","-"
"301","OROMIYA","Shambu","AUGUST","2013","37.09431432","9.569809208","6.55","-"
"302","OROMIYA","Nekemte","AUGUST","2013","36.54851971","9.09042469","6.00","5.71"
"303","OROMIYA","Bedele","AUGUST","2013","36.36017384","8.454821965","4.40","5.06"
"304","OROMIYA","Metu","AUGUST","2013","35.58726864","8.300606827","5.16","7.00"
"305","OROMIYA","Jimma","AUGUST","2013","36.84385226","7.672338798","7.00","8.57"
"306","OROMIYA","Agaro","AUGUST","2013","36.58627683","7.848002731","5.80","7.65"
"307","OROMIYA","Ambo","AUGUST","2013","37.8446066","8.976806527","6.53","-"
"308","OROMIYA","Weliso","AUGUST","2013","37.97073066","8.534178897","6.35","7.08"
"309","OROMIYA","Ejere","AUGUST","2013","39.262249","8.78288","7.06","-"
"310","OROMIYA","Fiche","AUGUST","2013","38.73344116","9.791083661","7.12","-"
"311","OROMIYA","Ghimbi","DECEMBER","2013","35.83291974","9.163103789","5.83","-"
"312","OROMIYA","Dembi- dolo ","DECEMBER","2013","34.79748694","8.530219501","4.00","-"
"313","OROMIYA","Shambu","DECEMBER","2013","37.09431432","9.569809208","5.76","-"
"314","OROMIYA","Nekemte","DECEMBER","2013","36.54851971","9.09042469","5.00","5.74"
"315","OROMIYA","Bedele","DECEMBER","2013","36.36017384","8.454821965","4.83","4.92"
"316","OROMIYA","Metu","DECEMBER","2013","35.58726864","8.300606827","4.33","7.00"
"317","OROMIYA","Jimma","DECEMBER","2013","36.84385226","7.672338798","5.50","8.57"
"318","OROMIYA","Agaro","DECEMBER","2013","36.58627683","7.848002731","4.71","8.00"
"319","OROMIYA","Ambo","DECEMBER","2013","37.8446066","8.976806527","5.22","-"
"320","OROMIYA","Weliso","DECEMBER","2013","37.97073066","8.534178897","5.05","10.72"
"321","OROMIYA","Ejere","DECEMBER","2013","39.262249","8.78288","6.09","-"
"322","OROMIYA","Fiche","DECEMBER","2013","38.73344116","9.791083661","6.31","-"
"323","OROMIYA","Ghimbi","FEBRUARY","2014","35.83291974","9.163103789","5.00","-"
"324","OROMIYA","Dembi- dolo ","FEBRUARY","2014","34.79748694","8.530219501","3.93","-"
"325","OROMIYA","Shambu","FEBRUARY","2014","37.09431432","9.569809208","5.49","-"
"326","OROMIYA","Nekemte","FEBRUARY","2014","36.54851971","9.09042469","4.40","6.40"
"327","OROMIYA","Bedele","FEBRUARY","2014","36.36017384","8.454821965","4.37","-"
"328","OROMIYA","Metu","FEBRUARY","2014","35.58726864","8.300606827","4.50","6.00"
"329","OROMIYA","Jimma","FEBRUARY","2014","36.84385226","7.672338798","6.00","10.57"
"330","OROMIYA","Agaro","FEBRUARY","2014","36.58627683","7.848002731","4.71","8.00"
"331","OROMIYA","Ambo","FEBRUARY","2014","37.8446066","8.976806527","5.33","-"
"332","OROMIYA","Weliso","FEBRUARY","2014","37.97073066","8.534178897","4.88","6.73"
