"","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED_Barley White","CEREALS UNMILLED_Barley Mixed","CEREALS UNMILLED_Barley Black","CEREALS UNMILLED_Barley for Beer","CEREALS UNMILLED_Hulled Barley","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","P R I C E   I N    B I R R_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS UNMILLED","CEREALS MILLED","CEREALS MILLED","P R I C E   I N    B I R R"
"1219","TIGRAY","Axum","March","2016","38.71879888","14.11130791","9.14","-","-","-","23.42","-","-","13.41"
"1220","TIGRAY","Adigrat","March","2016","39.46033457","14.26667752","8.00","-","7.32","-","-","-","-","22.06"
"1221","TIGRAY","Wukiro","March","2016","39.599747","13.796083","9.59","-","8.88","-","11.54","-","-","24.76"
"1222","TIGRAY","Mai- chew ","March","2016","39.541533","12.78792086","9.71","8.67","9.48","-","-","-","-","12.74"
"1223","TIGRAY","Mekelle","March","2016","39.47221911","13.48719005","10.32","-","11.32","-","-","-","-","28.90"
"1224","AFAR","Ayisaeta","March","2016","41.43333","11.56667","15.49","-","-","-","-","-","-","-"
"1225","AFAR","Dubti","March","2016","41.08260323","11.72765333","14.00","-","12.32","-","-","-","-","40.00"
"1226","AFAR","Melka Werers ","March","2016","40.18154914","9.340880502","12.32","-","-","12.66","-","-","-","20.00"
"1227","AFAR","Sebat killo ","March","2016","8.983333333","40.16666667","8.76","7.66","8.00","9.65","-","-","-","18.64"
"1228","TIGRAY","Enda- silase ","May","2016","38.27211005","14.08944251","10.46","-","-","-","-","-","-","21.75"
"1229","TIGRAY","Enda- baguna ","May","2016","38.19317204","13.97860867","10.46","-","-","-","-","-","-","12.50"
"1230","TIGRAY","Adwa","May","2016","38.88818805","14.14845458","11.23","-","-","-","16.42","-","-","19.09"
"1231","TIGRAY","Axum","May","2016","38.71879888","14.11130791","10.46","-","-","-","21.50","-","-","10.72"
"1232","TIGRAY","Adigrat","May","2016","39.46033457","14.26667752","9.99","-","8.94","-","-","-","-","25.29"
"1233","TIGRAY","Wukiro","May","2016","39.599747","13.796083","10.29","-","8.74","-","-","-","-","25.25"
"1234","TIGRAY","Mai- chew ","May","2016","39.541533","12.78792086","7.98","9.18","-","-","-","-","-","11.38"
"1235","TIGRAY","Mekelle","May","2016","39.47221911","13.48719005","10.97","-","12.32","-","-","-","-","30.00"
"1236","AFAR","Ayisaeta","May","2016","41.43333","11.56667","19.31","-","15.00","-","-","-","-","-"
"1237","AFAR","Dubti","May","2016","41.08260323","11.72765333","14.00","-","12.00","13.00","-","-","-","40.00"
"1238","AFAR","Melka Werers ","May","2016","40.18154914","9.340880502","12.66","-","-","12.32","-","-","-","21.54"
"1239","AFAR","Sebat killo ","May","2016","8.983333333","40.16666667","12.93","-","8.83","11.66","-","-","-","20.00"
"1240","TIGRAY","Enda- silase ","NOVEMBER","2015","38.27211005","14.08944251","8.73","-","-","-","-","-","-","21.75"
"1241","TIGRAY","Enda- baguna ","NOVEMBER","2015","38.19317204","13.97860867","9.94","-","-","-","-","-","-","12.50"
"1242","TIGRAY","Adwa","NOVEMBER","2015","38.88818805","14.14845458","11.23","-","-","-","17.16","-","-","19.27"
"1243","TIGRAY","Axum","NOVEMBER","2015","38.71879888","14.11130791","8.96","-","-","-","21.37","-","-","12.86"
"1244","TIGRAY","Adigrat","NOVEMBER","2015","39.46033457","14.26667752","7.96","-","8.11","-","-","-","-","21.14"
"1245","TIGRAY","Wukiro","NOVEMBER","2015","39.599747","13.796083","8.77","-","8.83","-","-","-","-","25.77"
"1246","TIGRAY","Mai- chew ","NOVEMBER","2015","39.541533","12.78792086","7.44","7.74","8.85","-","-","-","-","13.74"
"1247","TIGRAY","Mekelle","NOVEMBER","2015","39.47221911","13.48719005","12.32","-","11.66","-","-","-","-","30.40"
"1248","AFAR","Ayisaeta","NOVEMBER","2015","41.43333","11.56667","16.00","-","-","-","-","-","-","-"
"1249","AFAR","Dubti","NOVEMBER","2015","41.08260323","11.72765333","12.00","11.00","-","12.00","-","-","-","44.72"
"1250","AFAR","Melka Werers ","NOVEMBER","2015","40.18154914","9.340880502","12.32","-","-","12.49","-","-","-","21.54"
"1251","AFAR","Sebat killo ","NOVEMBER","2015","8.983333333","40.16666667","8.77","7.37","8.36","10.49","-","-","-","19.66"
"1252","TIGRAY","Enda- silase ","October","2015","38.27211005","14.08944251","10.23","-","-","-","-","-","-","23.84"
"1253","TIGRAY","Enda- baguna ","October","2015","38.19317204","13.97860867","10.42","-","-","-","-","-","-","13.16"
"1254","TIGRAY","Adwa","October","2015","38.88818805","14.14845458","11.23","-","-","-","15.64","-","-","22.23"
"1255","TIGRAY","Axum","October","2015","38.71879888","14.11130791","9.53","-","-","-","18.49","-","-","10.72"
"1256","TIGRAY","Adigrat","October","2015","39.46033457","14.26667752","9.32","-","8.57","-","-","-","-","21.90"
"1257","TIGRAY","Wukiro","October","2015","39.599747","13.796083","8.93","-","8.67","-","-","-","-","25.51"
"1258","TIGRAY","Mai- chew ","October","2015","39.541533","12.78792086","7.76","7.39","8.77","-","-","-","-","15.22"
"1259","TIGRAY","Mekelle","October","2015","39.47221911","13.48719005","11.32","-","10.00","-","-","-","-","28.66"
"1260","AFAR","Ayisaeta","October","2015","41.43333","11.56667","20.00","-","-","-","-","-","-","-"
"1261","AFAR","Dubti","October","2015","41.08260323","11.72765333","11.49","10.00","-","-","-","-","-","44.72"
"1262","AFAR","Melka Werers ","October","2015","40.18154914","9.340880502","12.32","-","-","13.33","-","-","-","25.00"
"1263","AFAR","Sebat killo ","October","2015","8.983333333","40.16666667","8.77","7.30","8.23","10.26","-","-","-","19.66"
"1264","TIGRAY","Enda- silase ","September","2015","38.27211005","14.08944251","9.36","-","-","-","-","-","-","24.24"
"1265","TIGRAY","Enda- baguna ","September","2015","38.19317204","13.97860867","8.97","-","-","-","-","-","-","15.55"
"1266","TIGRAY","Adwa","September","2015","38.88818805","14.14845458","11.23","-","-","-","17.66","-","-","19.45"
"1267","TIGRAY","Axum","September","2015","38.71879888","14.11130791","9.20","-","-","-","22.14","-","-","10.95"
"1268","TIGRAY","Adigrat","September","2015","39.46033457","14.26667752","8.96","7.38","-","-","-","-","-","22.06"
"1269","TIGRAY","Wukiro","September","2015","39.599747","13.796083","8.22","-","7.90","-","-","-","-","25.51"
"1270","TIGRAY","Mai- chew ","September","2015","39.541533","12.78792086","11.39","9.95","11.32","-","-","-","-","13.47"
"1271","TIGRAY","Mekelle","September","2015","39.47221911","13.48719005","10.97","-","10.32","-","-","-","-","24.16"
"1272","AFAR","Ayisaeta","September","2015","41.43333","11.56667","15.66","-","11.00","-","-","-","-","-"
"1273","AFAR","Dubti","September","2015","41.08260323","11.72765333","12.00","10.00","-","-","-","-","-","43.09"
"1274","AFAR","Melka Werers ","September","2015","40.18154914","9.340880502","13.66","-","-","12.97","-","-","-","-"
"1275","AFAR","Sebat killo ","September","2015","8.983333333","40.16666667","8.83","8.00","8.66","10.83","-","-","-","18.29"
