"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.hullb","pkg.bar.allba"
"805","Snnp","Lasoka","January",2019,36.60777815,6.30774507,15.09,NA,16,NA,35.81,NA,NA,30.87,NA,15.09
"806","Snnp","Amaya","January",2019,36.68000727,7.105541206,12.29,12.01,12.16,NA,NA,NA,NA,NA,NA,12.29
"807","Snnp","Shewa- Bench ","July",2018,NA,NA,18,15,16,NA,NA,40,NA,30.86,NA,18
"808","Snnp","Mizan- Teferi ","July",2018,35.41120174,6.883477024,16,15,15,NA,NA,NA,NA,25,NA,16
"809","Snnp","Deri","July",2018,36.28577951,7.384839762,13.33,13.04,12.77,NA,NA,NA,NA,33.9,NA,13.33
"810","Snnp","Amaro Kele ","July",2018,6.083333333,38.03333333,13.43,NA,16.35,16.33,19.56,NA,NA,NA,NA,13.43
"811","Snnp","Soyama","July",2018,5.7,37.88333333,10.46,9.66,NA,NA,NA,NA,NA,NA,NA,10.46
"812","Snnp","Karate","July",2018,5.25,37.48333333,15.97,NA,NA,NA,NA,NA,NA,NA,NA,15.97
"813","Snnp","Gidola","July",2018,37.34772952,5.647078098,14.81,13.07,16.47,NA,23.82,NA,NA,NA,NA,14.81
"814","Snnp","Tercha","July",2018,37.175334,7.146295,20,16,15,NA,NA,NA,NA,NA,NA,20
"815","Snnp","Besite- Chere ","July",2018,NA,NA,20,20,18,NA,NA,NA,NA,NA,NA,20
"816","Snnp","Lasoka","July",2018,36.60777815,6.30774507,15.69,15.38,15.69,NA,20,NA,NA,20.81,NA,15.69
"817","Snnp","Amaya","July",2018,36.68000727,7.105541206,10.74,10.69,10.44,NA,12.44,NA,NA,NA,NA,10.74
"818","Snnp","Shewa- Bench ","March",2019,NA,NA,16.49,12,15,NA,NA,50,40,35.14,NA,16.49
"819","Snnp","Mizan- Teferi ","March",2019,35.41120174,6.883477024,14,12,11,NA,NA,40,NA,20,NA,14
"820","Snnp","Deri","March",2019,36.28577951,7.384839762,9.75,NA,NA,NA,NA,NA,NA,NA,NA,9.75
"821","Snnp","Amaro Kele ","March",2019,6.083333333,38.03333333,14.97,NA,16.67,15.79,18.58,NA,NA,NA,NA,14.97
