"","Region","Market","Month","Year","Longitude","Latitude","pkg.bar.white","pkg.bar.mixed","pkg.bar.black","pkg.bar.bbeer","pkg.bar.temez","pkg.bar.millw","pkg.bar.millm","pkg.bar.maltb","pkg.bar.allba"
"529","Oromiya","Robe","March",2018,39.631104,7.860619,14.95,8.36,NA,11.36,NA,NA,NA,NA,14.95
"530","Oromiya","Hagere- Mariam ","March",2018,38.23373735,5.63380625,12,NA,10,16,NA,NA,NA,16.67,12
"531","Oromiya","Negele- Borena ","March",2018,39.577385,5.33699,12,12,12,NA,NA,40,35,NA,12
"532","Oromiya","Adama","May",2018,39.26941988,8.535362997,15.73,12.23,13,16,12.75,26.5,NA,26.5,15.73
"533","Oromiya","Shashe- Mene ","May",2018,38.608142,7.205388,12,10,14.49,16,NA,NA,NA,33.81,12
"534","Oromiya","Diksise","May",2018,39.55824,8.059179,12.67,11.41,11.22,15.22,NA,NA,NA,NA,12.67
"535","Oromiya","Asella","May",2018,39.12972322,7.949589951,14,11,11,14,NA,NA,NA,22.86,14
"536","Oromiya","Asebe- Teferi ","May",2018,40.86319806,9.072493603,16.97,12.49,15,16.97,NA,NA,NA,39.84,16.97
"537","Oromiya","Bedessa","May",2018,40.77378712,8.902011546,17.49,NA,NA,NA,NA,NA,NA,NA,17.49
"538","Oromiya","Haromaya","May",2018,42.01641123,9.379383214,18,NA,16,18,NA,NA,NA,NA,18
"539","Oromiya","Boreda","May",2018,41.278686,9.331067,17,NA,NA,NA,NA,NA,NA,NA,17
"540","Oromiya","Adaba","May",2018,39.3890878,7.004454253,12.43,10.41,NA,NA,NA,NA,NA,NA,12.43
"541","Oromiya","Robe","May",2018,39.631104,7.860619,16.13,12.14,NA,16.01,NA,NA,NA,NA,16.13
"542","Oromiya","Hagere- Mariam ","May",2018,38.23373735,5.63380625,12.49,NA,10,16,NA,NA,NA,16.67,12.49
"543","Oromiya","Negele- Borena ","May",2018,39.577385,5.33699,13,13,13,NA,NA,40,35,NA,13
"544","Oromiya","Adama","November",2017,39.26941988,8.535362997,17.75,13.49,14,18,12.49,21.49,NA,17.49,17.75
"545","Oromiya","Shashe- Mene ","November",2017,38.608142,7.205388,14,13,16.49,18,NA,NA,NA,15,14
"546","Oromiya","Diksise","November",2017,39.55824,8.059179,NA,6.67,6.67,9.07,NA,NA,NA,NA,6.67
"547","Oromiya","Asella","November",2017,39.12972322,7.949589951,15,12,12,15,NA,NA,NA,27.42,15
"548","Oromiya","Asebe- Teferi ","November",2017,40.86319806,9.072493603,NA,13.49,12,22,NA,NA,NA,38.32,13.49
"549","Oromiya","Bedessa","November",2017,40.77378712,8.902011546,18,NA,NA,NA,NA,NA,NA,NA,18
"550","Oromiya","Haromaya","November",2017,42.01641123,9.379383214,NA,NA,20,22,NA,NA,NA,NA,20
"551","Oromiya","Boreda","November",2017,41.278686,9.331067,16.49,NA,NA,NA,NA,NA,NA,NA,16.49
"552","Oromiya","Adaba","November",2017,39.3890878,7.004454253,8.24,6.49,6.6,8.44,NA,NA,NA,NA,8.24
"553","Oromiya","Robe","November",2017,39.631104,7.860619,13.29,9.12,NA,NA,NA,NA,NA,NA,13.29
"554","Oromiya","Hagere- Mariam ","November",2017,38.23373735,5.63380625,10.49,NA,10.28,15.49,NA,NA,NA,11.92,10.49
"555","Oromiya","Negele- Borena ","November",2017,39.577385,5.33699,12,12,12,NA,NA,35,30,NA,12
"556","Oromiya","Adama","October",2017,39.26941988,8.535362997,17.49,12,12,18,12.49,20,NA,16,17.49
