"","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley White","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Mixed","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley Black","01.1.1.2 UNMILLED CEREALS/GRAINS_Barley for Beer","P R I C E   I N    B I R R_Hulled Barley (Temez)","CEREALS MILLED_Barley White","CEREALS MILLED_Barley Mixed","01.2.1.1 COFFEE AND TEA_Malt-Barley"
"1","Region","Market","Month","Year","Longitude","Latitude","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","01.1.1.2 UNMILLED CEREALS/GRAINS","P R I C E   I N    B I R R","CEREALS MILLED","CEREALS MILLED","01.2.1.1 COFFEE AND TEA"
"823","SNNP","Amaro Kele ","April","2018","6.083333333","38.03333333","13.42","11.92","13.92","13.79","18.68","-","-","-"
"824","SNNP","Soyama","April","2018","5.7","37.88333333","10.46","9.60","-","-","-","-","-","-"
"825","SNNP","Karate","April","2018","5.25","37.48333333","11.70","-","-","-","-","-","-","-"
"826","SNNP","Gidola","April","2018","37.34772952","5.647078098","11.82","10.52","11.84","-","16.45","-","-","-"
"827","SNNP","Tercha","April","2018","37.175334","7.146295","18.00","16.00","16.00","-","-","-","-","-"
"828","SNNP","Besite- chere ","April","2018",NA,NA,"20.00","18.00","18.00","-","-","-","-","-"
"829","SNNP","Lasoka","April","2018","36.60777815","6.30774507","10.00","9.81","10.00","-","19.61","-","-","15.63"
"830","SNNP","Amaya","April","2018","36.68000727","7.105541206","8.23","8.75","8.07","-","16.17","-","-","-"
"831","SNNP","Shewa- Bench ","August","2017",NA,NA,"14.49","12.00","14.00","-","-","-","-","25.00"
"832","SNNP","Mizan- Teferi ","August","2017","35.41120174","6.883477024","14.00","10.00","11.00","-","-","-","-","18.00"
"833","SNNP","Deri","August","2017","36.28577951","7.384839762","13.79","13.48","13.64","-","-","-","-","22.24"
"834","SNNP","Amaro Kele ","August","2017","6.083333333","38.03333333","12.25","-","14.02","-","16.40","-","-","-"
"835","SNNP","Soyama","August","2017","5.7","37.88333333","10.60","9.53","-","-","-","-","-","-"
"836","SNNP","Karate","August","2017","5.25","37.48333333","10.58","-","-","-","-","-","-","-"
"837","SNNP","Gidola","August","2017","37.34772952","5.647078098","12.47","9.95","8.69","-","11.30","-","-","-"
"838","SNNP","Tercha","August","2017","37.175334","7.146295","16.00","15.00","14.00","-","-","-","-","-"
"839","SNNP","Besite- chere ","August","2017",NA,NA,"12.25","12.00","13.00","-","-","-","-","-"
"840","SNNP","Lasoka","August","2017","36.60777815","6.30774507","6.51","-","9.44","-","18.87","-","-","11.43"
"841","SNNP","Amaya","August","2017","36.68000727","7.105541206","8.10","7.75","7.60","-","12.00","-","-","-"
"842","SNNP","Shewa- Bench ","December","2017",NA,NA,"20.00","10.00","14.00","-","-","-","-","29.21"
"843","SNNP","Mizan- Teferi ","December","2017","35.41120174","6.883477024","17.00","12.00","10.00","-","-","-","-","18.00"
"844","SNNP","Deri","December","2017","36.28577951","7.384839762","18.39","17.98","17.98","-","-","-","-","22.24"
"845","SNNP","Amaro Kele ","December","2017","6.083333333","38.03333333","15.89","-","15.19","-","18.68","-","-","-"
"846","SNNP","Soyama","December","2017","5.7","37.88333333","9.91","8.05","-","-","-","-","-","-"
"847","SNNP","Karate","December","2017","5.25","37.48333333","11.70","-","-","-","-","-","-","-"
"848","SNNP","Gidola","December","2017","37.34772952","5.647078098","11.76","12.05","17.98","-","22.54","-","-","-"
"849","SNNP","Tercha","December","2017","37.175334","7.146295","18.00","16.00","15.00","-","-","-","-","-"
"850","SNNP","Besite- chere ","December","2017",NA,NA,"15.00","12.00","-","-","20.00","-","-","-"
"851","SNNP","Lasoka","December","2017","36.60777815","6.30774507","-","-","7.55","-","18.87","-","-","15.63"
"852","SNNP","Amaya","December","2017","36.68000727","7.105541206","8.70","8.30","8.34","-","-","-","-","-"
